datetime,close,volume,open,high,low,missing
2013-10-14,3.97,63562310.0,3.87,4.05,3.85,0.0
2013-10-15,4.02,51935420.0,4.03,4.1,4.01,0.0
2013-10-16,4.09,34002480.0,4.1,4.1,4.025,0.0
2013-10-17,4.09,44369980.0,4.12,4.13,4.06,0.0
2013-10-18,3.53,108447900.0,3.56,3.66,3.51,0.0
2013-10-21,3.37,68808010.0,3.56,3.56,3.3,0.0
2013-10-22,3.18,92413090.0,3.32,3.34,3.12,0.0
2013-10-23,3.14,65916630.0,3.2,3.25,3.04,0.0
2013-10-24,3.23,42953530.0,3.205,3.3,3.16,0.0
2013-10-25,3.34,43314200.0,3.29,3.39,3.29,0.0
2013-10-28,3.32,23720140.0,3.38,3.39,3.32,0.0
2013-10-29,3.33,15791100.0,3.34,3.37,3.32,0.0
2013-10-30,3.3,16149680.0,3.35,3.36,3.3,0.0
2013-10-31,3.34,18007040.0,3.31,3.35,3.25,0.0
2013-11-01,3.31,14398660.0,3.37,3.37,3.3,0.0
2013-11-04,3.32,16682520.0,3.34,3.38,3.29,0.0
2013-11-05,3.33,13980280.0,3.32,3.35,3.29,0.0
2013-11-06,3.32,15034500.0,3.33,3.35,3.3,0.0
2013-11-07,3.28,18817240.0,3.33,3.33,3.23,0.0
2013-11-08,3.27,12038640.0,3.26,3.29,3.2,0.0
2013-11-11,3.34,12981290.0,3.29,3.34,3.25,0.0
2013-11-12,3.44,20070950.0,3.34,3.45,3.33,0.0
2013-11-13,3.54,28886180.0,3.5,3.55,3.46,0.0
2013-11-14,3.52,15110240.0,3.55,3.57,3.47,0.0
2013-11-15,3.5,11570830.0,3.53,3.53,3.48,0.0
2013-11-18,3.47,13048630.0,3.53,3.54,3.47,0.0
2013-11-19,3.42,20115540.0,3.46,3.48,3.36,0.0
2013-11-20,3.42,9913561.0,3.44,3.46,3.4,0.0
2013-11-21,3.37,13646250.0,3.43,3.44,3.35,0.0
2013-11-22,3.34,11296940.0,3.38,3.39,3.325,0.0
2013-11-25,3.39,11562630.0,3.36,3.4,3.34,0.0
2013-11-26,3.45,16956760.0,3.42,3.48,3.4,0.0
2013-11-27,3.56,19861240.0,3.475,3.58,3.46,0.0
2013-11-28,3.56,19861240.0,3.475,3.58,3.46,1.0
2013-11-29,3.64,15448410.0,3.6,3.68,3.58,0.0
2013-12-02,3.66,24093160.0,3.65,3.7,3.56,0.0
2013-12-03,3.62,23323170.0,3.64,3.71,3.58,0.0
2013-12-04,3.57,21608240.0,3.57,3.63,3.48,0.0
2013-12-05,3.64,14421130.0,3.56,3.65,3.55,0.0
2013-12-06,3.66,15793610.0,3.67,3.7,3.63,0.0
2013-12-09,3.63,10449820.0,3.66,3.7,3.63,0.0
2013-12-10,3.72,29549780.0,3.63,3.78,3.6,0.0
2013-12-11,3.68,13428020.0,3.74,3.77,3.66,0.0
2013-12-12,3.69,9950604.0,3.68,3.75,3.645,0.0
2013-12-13,3.69,9059569.0,3.7,3.72,3.6467,0.0
2013-12-16,3.59,22204680.0,3.64,3.66,3.51,0.0
2013-12-17,3.65,14823530.0,3.6,3.67,3.58,0.0
2013-12-18,3.65,12621370.0,3.64,3.67,3.6,0.0
2013-12-19,3.65,10418340.0,3.64,3.68,3.5959,0.0
2013-12-20,3.69,12762650.0,3.64,3.7,3.64,0.0
2013-12-23,3.75,14494760.0,3.74,3.78,3.72,0.0
2013-12-24,3.77,5798855.0,3.77,3.8,3.75,0.0
2013-12-25,3.77,5798855.0,3.77,3.8,3.75,1.0
2013-12-26,3.8,9875522.0,3.8,3.85,3.79,0.0
2013-12-27,3.78,8236660.0,3.82,3.829,3.76,0.0
2013-12-30,3.85,17432700.0,3.79,3.88,3.78,0.0
2013-12-31,3.87,12347840.0,3.87,3.88,3.83,0.0
2014-01-01,3.87,12347840.0,3.87,3.88,3.83,1.0
