datetime,close,open,high,low,volume,missing
2015-02-01,214.8,218.0,220.8,208.5,6.19,0
2015-02-02,238.0,214.8,242.0,214.8,6.42,0
2015-02-03,227.4,238.0,244.4,223.8,17.76,0
2015-02-04,227.0,227.4,231.0,220.0,14.31,0
2015-02-05,217.0,227.0,228.9,213.6,4.31,0
2015-02-06,222.9,216.8,225.9,214.9,4.73,0
2015-02-07,228.6,223.4,231.1,221.8,6.36,0
2015-02-08,224.2,228.3,232.9,219.7,5.46,0
2015-02-09,220.7,224.2,226.0,215.0,19.48,0
2015-02-10,220.9,220.7,222.0,215.0,6.33,0
2015-02-11,219.1,220.9,223.4,218.0,9.3,0
2015-02-12,222.5,219.6,223.1,218.2,4.01,0
2015-02-13,236.9,223.0,242.4,221.4,8.08,0
2015-02-14,257.9,237.0,259.3,236.9,10.81,0
2015-02-15,234.0,257.0,265.9,227.8,18.47,0
2015-02-16,236.6,234.0,241.2,229.2,12.32,0
2015-02-17,245.0,236.6,248.8,232.0,11.9,0
2015-02-18,235.8,245.0,247.0,232.2,6.77,0
2015-02-19,242.7,237.4,245.0,235.7,4.73,0
2015-02-20,246.1,240.6,249.0,239.4,4.56,0
2015-02-21,245.9,245.5,247.5,244.0,1.55,0
2015-02-22,236.7,245.4,247.4,232.5,6.74,0
2015-02-23,238.9,236.7,240.7,232.1,3.71,0
2015-02-24,239.7,239.6,240.9,236.3,2.43,0
2015-02-25,238.0,239.9,240.6,236.0,1.74,0
2015-02-26,236.7,238.0,238.6,234.0,3.5,0
2015-02-27,253.1,236.7,256.1,236.2,22.02,0
2015-02-28,253.0,253.1,254.3,245.2,3.61,0
2015-03-01,255.8,253.5,260.0,245.0,5.06,0
2015-03-02,274.0,258.3,274.8,256.0,9.78,0
2015-03-03,279.0,274.0,285.0,265.9,22.21,0
2015-03-04,269.8,279.0,283.9,264.9,14.28,0
2015-03-05,273.8,269.8,280.5,262.2,11.36,0
2015-03-06,273.3,273.8,276.5,269.0,7.0,0
2015-03-07,275.6,273.3,279.5,270.0,5.61,0
2015-03-08,274.9,275.6,277.6,271.1,4.46,0
2015-03-09,287.0,274.9,289.0,274.2,11.98,0
2015-03-10,290.2,287.0,296.8,284.0,12.86,0
2015-03-11,295.1,290.2,296.7,285.8,6.78,0
2015-03-12,295.6,295.1,298.0,289.0,8.15,0
2015-03-13,284.4,295.6,295.8,283.0,9.18,0
2015-03-14,282.7,284.4,287.7,280.5,5.62,0
2015-03-15,286.4,282.7,287.8,281.4,2.43,0
2015-03-16,289.7,286.4,294.3,285.8,6.47,0
2015-03-17,284.5,289.7,293.0,281.9,6.47,0
2015-03-18,257.3,284.5,284.5,249.0,21.12,0
2015-03-19,262.0,257.3,266.0,249.0,14.75,0
2015-03-20,262.1,262.0,265.3,257.0,5.68,0
2015-03-21,259.8,262.1,262.6,256.3,4.62,0
2015-03-22,269.4,259.8,272.0,259.2,5.71,0
2015-03-23,265.8,269.4,270.1,259.5,8.9,0
2015-03-24,246.9,265.8,266.5,241.8,17.59,0
2015-03-25,247.7,246.9,250.0,236.4,13.45,0
2015-03-26,249.5,247.7,253.8,244.9,8.4,0
2015-03-27,248.1,249.5,250.5,245.1,5.85,0
2015-03-28,252.3,248.1,253.8,247.2,5.94,0
2015-03-29,242.2,252.3,253.0,240.0,6.59,0
2015-03-30,247.7,242.2,248.9,236.5,7.88,0
2015-03-31,244.0,247.7,248.6,238.6,8.18,0
2015-04-01,246.0,244.0,246.8,239.3,6.11,0
2015-04-02,253.2,246.0,257.0,244.5,9.88,0
2015-04-03,253.8,253.2,256.7,251.2,5.06,0
2015-04-04,253.4,253.8,255.9,250.8,2.58,0
2015-04-05,260.5,253.4,261.0,251.6,5.81,0
2015-04-06,255.8,260.5,263.0,254.0,5.99,0
2015-04-07,254.4,255.8,256.6,251.5,5.99,0
2015-04-08,244.1,254.4,255.0,243.1,11.65,0
2015-04-09,243.5,244.1,246.3,238.5,7.99,0
2015-04-10,234.8,243.5,243.9,231.0,11.53,0
2015-04-11,237.3,234.8,239.4,233.0,4.1,0
2015-04-12,236.3,237.3,237.5,233.4,2.85,0
2015-04-13,222.9,236.3,236.9,219.6,13.82,0
2015-04-14,216.4,222.9,224.8,210.0,18.43,0
2015-04-15,221.5,216.4,222.4,214.1,9.77,0
2015-04-16,227.6,221.5,229.7,221.5,11.0,0
2015-04-17,221.9,227.6,228.3,220.0,5.77,0
2015-04-18,223.1,221.9,224.7,220.3,4.25,0
2015-04-19,222.9,223.1,227.4,221.9,5.87,0
2015-04-20,224.1,222.9,226.5,221.4,6.01,0
2015-04-21,234.1,224.1,235.6,223.9,9.53,0
2015-04-22,233.0,234.1,238.6,229.1,11.07,0
2015-04-23,235.1,233.0,236.2,232.0,8.02,0
2015-04-24,231.1,235.1,236.0,228.0,8.56,0
2015-04-25,226.3,231.1,232.3,225.7,5.38,0
2015-04-26,219.5,226.3,227.3,215.0,11.26,0
2015-04-27,226.0,219.5,229.9,217.5,13.5,0
2015-04-28,225.1,226.0,228.1,221.4,9.6,0
2015-04-29,225.5,225.1,227.0,221.8,8.66,0
2015-04-30,235.8,225.5,240.0,224.6,12.47,0
2015-05-01,232.0,235.8,239.2,231.0,6.62,0
2015-05-02,233.9,232.0,234.9,229.9,4.38,0
2015-05-03,239.2,233.9,242.3,232.3,4.42,0
2015-05-04,237.9,239.2,242.2,236.1,7.16,0
2015-05-05,234.4,237.9,239.0,229.7,8.79,0
2015-05-06,229.8,234.4,236.0,227.0,8.71,0
2015-05-07,236.8,229.8,240.0,227.4,10.9,0
2015-05-08,243.2,236.8,246.6,235.3,9.62,0
2015-05-09,241.4,243.2,247.0,238.6,5.56,0
2015-05-10,239.1,241.4,245.0,238.0,3.49,0
2015-05-11,239.0,239.1,241.0,238.0,5.17,0
2015-05-12,241.3,240.1,242.0,238.6,5.82,0
2015-05-13,236.9,241.3,244.1,235.1,9.23,0
2015-05-14,236.9,236.9,239.7,232.2,7.71,0
2015-05-15,237.1,236.9,239.3,235.1,4.52,0
2015-05-16,235.6,237.1,237.4,234.0,3.12,0
2015-05-17,236.1,235.6,237.0,234.1,2.63,0
2015-05-18,232.2,236.1,236.9,231.4,7.42,0
2015-05-19,231.7,232.2,234.2,230.9,5.56,0
2015-05-20,233.8,231.7,234.9,231.0,7.68,0
2015-05-21,235.5,233.8,236.5,233.8,4.59,0
2015-05-22,239.0,235.5,240.9,232.9,10.42,0
2015-05-23,237.7,239.0,240.7,237.4,3.3,0
2015-05-24,239.7,237.7,241.6,237.7,2.86,0
2015-05-25,235.5,239.7,240.1,233.1,5.3,0
2015-05-26,236.2,235.5,236.2,235.0,0.47,0
2015-05-27,235.3,236.2,237.4,234.0,8.62,0
2015-05-28,236.5,235.3,236.8,234.9,4.98,0
2015-05-29,236.0,236.5,236.5,234.0,6.21,0
2015-05-30,232.1,236.0,236.2,231.0,4.26,0
2015-05-31,229.1,232.1,232.5,228.0,4.39,0
2015-06-01,223.7,229.1,231.2,220.6,12.14,0
2015-06-02,224.8,223.7,226.4,221.3,7.8,0
2015-06-03,225.1,224.8,227.0,222.6,5.73,0
2015-06-04,222.4,225.1,226.0,222.0,4.89,0
