datetime,close,volume,open,high,low,missing
2013-10-14,9.56,4342.0,9.9,10.1,9.5,0.0
2013-10-15,9.58,542.0,9.5,9.58,9.4,0.0
2013-10-16,9.2,2022.0,9.3,9.38,9.2,0.0
2013-10-17,10.6,17128.0,9.0,11.7,9.0,0.0
2013-10-18,11.46,32681.0,10.1,11.46,10.1,0.0
2013-10-21,11.3,21440.0,11.0,11.56,11.0,0.0
2013-10-22,11.22,2500.0,11.5,11.54,11.2,0.0
2013-10-23,11.2,19577.0,11.5,11.5,11.2,0.0
2013-10-24,11.2,2484.0,11.5,11.5,11.2,0.0
2013-10-25,11.3,8175.0,11.3,11.32,11.1,0.0
2013-10-28,11.6,11354.0,11.38,11.6,11.2,0.0
2013-10-29,11.4,90617.0,11.1,11.4,10.64,0.0
2013-10-30,11.2,6000.0,11.5,11.92,10.84,0.0
2013-10-31,11.7,4287.0,11.6,11.7,11.0,0.0
2013-11-01,11.6,6014.0,11.4,11.8,11.4,0.0
2013-11-04,12.1,35396.0,11.6,12.7,11.6,0.0
2013-11-05,11.86,15240.0,12.0,12.04,11.0,0.0
2013-11-06,11.92,10906.0,11.7,11.94,11.58,0.0
2013-11-07,11.7,4644.0,11.9,11.9,11.7,0.0
2013-11-08,11.7,10918.0,11.7,11.7,11.22,0.0
2013-11-11,11.4,6328.0,11.22,11.8,10.72,0.0
2013-11-12,11.4,21680.0,11.4,12.0,11.04,0.0
2013-11-13,11.4,10919.0,11.4,11.4,11.2,0.0
2013-11-14,11.2,1700.0,11.2,11.5,11.14,0.0
2013-11-15,11.5,15071.0,11.14,11.6,10.86,0.0
2013-11-18,11.86,27679.0,12.4,12.4,11.6,0.0
2013-11-19,11.74,18421.0,11.86,12.3,11.64,0.0
2013-11-20,11.0,14763.0,11.8,11.9,10.68,0.0
2013-11-21,10.4,9822.0,11.9,11.9,10.2,0.0
2013-11-22,10.5,12300.0,10.78,11.26,10.3,0.0
2013-11-25,11.3,7745.0,10.5,11.3,10.5,0.0
2013-11-26,10.5,9692.0,10.9,10.9,10.2,0.0
2013-11-27,11.3,3191.0,11.48,11.48,11.0,0.0
2013-11-28,11.3,3191.0,11.48,11.48,11.0,1.0
2013-11-29,12.2,7604.0,11.4,12.3,11.4,0.0
2013-12-02,11.4,8942.0,11.9,12.0,11.4,0.0
2013-12-03,11.8,14445.0,11.4,12.14,10.8,0.0
2013-12-04,11.5,8761.0,11.8,11.8,11.2,0.0
2013-12-05,11.6,23995.0,11.7,11.7,11.06,0.0
2013-12-06,11.2,9667.0,11.6,11.64,11.2,0.0
2013-12-09,12.26,74209.0,11.6,12.5,11.54,0.0
2013-12-10,12.2,9293.0,12.16,12.44,12.0,0.0
2013-12-11,12.12,24988.0,12.2,12.4,11.7,0.0
2013-12-12,12.8,67664.0,12.4,13.0,12.18,0.0
2013-12-13,13.0,21428.0,12.9,13.0,12.7,0.0
2013-12-16,12.9,34939.0,13.0,13.0,12.46,0.0
2013-12-17,13.6,102508.0,12.9,13.6,12.54,0.0
