datetime,close,volume,open,high,low,missing
2013-10-14,15.49,4165705.0,15.22,15.49,15.22,0.0
2013-10-15,15.41,5220545.0,15.49,15.5799,15.4,0.0
2013-10-16,15.6,5217312.0,15.5,15.66,15.48,0.0
2013-10-17,15.63,5333061.0,15.48,15.67,15.48,0.0
2013-10-18,15.81,6376653.0,15.6,15.86,15.54,0.0
2013-10-21,15.85,4875242.0,16.0,16.01,15.8,0.0
2013-10-22,15.77,4486250.0,15.85,15.86,15.63,0.0
2013-10-23,15.501,6305379.0,15.74,15.74,15.45,0.0
2013-10-24,15.385,5910900.0,15.54,15.64,15.364,0.0
2013-10-25,15.24,8262332.0,15.47,15.48,15.19,0.0
2013-10-28,15.21,9321949.0,15.22,15.29,15.0,0.0
2013-10-29,15.23,9698815.0,15.19,15.26,15.05,0.0
2013-10-30,15.22,5100363.0,15.28,15.35,15.09,0.0
2013-10-31,15.189,7334228.0,15.24,15.35,15.16,0.0
2013-11-01,15.255,5153427.0,15.27,15.33,15.15,0.0
2013-11-04,14.82,10256420.0,15.31,15.31,14.79,0.0
2013-11-05,14.8,10559230.0,14.73,14.865,14.57,0.0
2013-11-06,14.9,4950992.0,14.8,14.91,14.65,0.0
2013-11-07,14.545,13808760.0,14.85,14.89,14.52,0.0
2013-11-08,15.56,18363320.0,15.0,15.61,14.935,0.0
2013-11-11,15.69,7440625.0,15.5,15.73,15.47,0.0
2013-11-12,15.715,7900788.0,15.76,15.85,15.54,0.0
2013-11-13,16.15,8319792.0,15.68,16.15,15.65,0.0
2013-11-14,16.22,7699506.0,16.1,16.315,16.09,0.0
2013-11-15,16.17,6258291.0,16.28,16.3,16.01,0.0
2013-11-18,15.78,7923714.0,15.82,15.96,15.74,0.0
2013-11-19,15.44,5165134.0,15.62,15.76,15.42,0.0
2013-11-20,15.21,5119353.0,15.45,15.49,15.18,0.0
2013-11-21,15.33,5339156.0,15.23,15.36,15.16,0.0
2013-11-22,15.18,3966684.0,15.35,15.35,15.15,0.0
2013-11-25,15.51,6202415.0,15.18,15.53,15.18,0.0
2013-11-26,15.64,18829380.0,15.68,15.805,15.575,0.0
2013-11-27,15.7,4531837.0,15.63,15.745,15.53,0.0
2013-11-28,15.7,4531837.0,15.63,15.745,15.53,1.0
2013-11-29,15.6,2924092.0,15.7,15.74,15.5,0.0
2013-12-02,15.75,9346848.0,15.54,15.86,15.51,0.0
2013-12-03,15.74,7264021.0,15.75,15.955,15.64,0.0
2013-12-04,15.96,12329430.0,15.7,15.99,15.655,0.0
2013-12-05,15.7,6795314.0,15.99,15.99,15.68,0.0
2013-12-06,15.47,7025014.0,15.89,15.89,15.43,0.0
2013-12-09,15.205,9630480.0,15.47,15.52,15.18,0.0
2013-12-10,15.56,13106720.0,15.21,15.63,15.19,0.0
2013-12-11,15.41,10353900.0,15.59,15.61,15.38,0.0
2013-12-12,15.11,6461071.0,15.36,15.44,15.08,0.0
2013-12-13,15.02,4614724.0,15.14,15.25,15.0,0.0
2013-12-16,15.04,5940503.0,15.03,15.17,15.02,0.0
2013-12-17,15.11,6852637.0,15.03,15.15,14.9,0.0
2013-12-18,15.32,10655790.0,15.14,15.35,14.95,0.0
2013-12-19,15.38,6463632.0,15.3,15.4,15.2,0.0
2013-12-20,15.685,9546431.0,15.41,15.7,15.37,0.0
2013-12-23,15.78,4195738.0,15.78,15.91,15.65,0.0
2013-12-24,15.82,1990034.0,15.87,15.87,15.66,0.0
2013-12-25,15.82,1990034.0,15.87,15.87,15.66,1.0
2013-12-26,15.67,4223004.0,15.88,15.925,15.63,0.0
2013-12-27,15.76,5274425.0,15.75,15.79,15.66,0.0
2013-12-30,15.97,6204467.0,15.77,15.98,15.75,0.0
2013-12-31,16.02,5894431.0,16.0,16.1,15.9,0.0
2014-01-01,16.02,5894431.0,16.0,16.1,15.9,1.0
2014-01-02,15.86,6502296.0,15.92,15.98,15.72,0.0
2014-01-03,15.67,6483288.0,15.89,15.9201,15.62,0.0
