datetime,close,volume,open,high,low,missing
2013-10-14,29.38,87652.0,29.07,29.51,28.69,0.0
2013-10-15,29.41,179528.0,29.21,29.7099,28.9807,0.0
2013-10-16,29.33,470326.0,29.63,30.45,28.86,0.0
2013-10-17,25.83,2565001.0,26.64,27.29,24.0,0.0
2013-10-18,26.07,564796.0,26.1,27.14,25.72,0.0
2013-10-21,24.95,442870.0,26.23,26.82,24.83,0.0
2013-10-22,24.89,332030.0,24.95,25.3,24.23,0.0
2013-10-23,24.15,285149.0,24.75,25.0,24.04,0.0
2013-10-24,24.29,226867.0,24.15,24.54,23.6,0.0
2013-10-25,24.95,258883.0,24.34,25.38,24.33,0.0
2013-10-28,24.04,358711.0,24.89,24.98,23.8,0.0
2013-10-29,24.03,172533.0,24.05,24.299,23.69,0.0
2013-10-30,23.22,217240.0,24.05,24.18,22.96,0.0
2013-10-31,23.43,272846.0,23.18,24.05,22.96,0.0
2013-11-01,23.37,179306.0,23.47,23.57,23.06,0.0
2013-11-04,23.27,118015.0,23.56,23.56,23.15,0.0
2013-11-05,23.56,215120.0,23.2,23.77,22.9,0.0
2013-11-06,24.11,288755.0,23.67,24.22,23.46,0.0
2013-11-07,23.49,614224.0,24.24,24.41,22.59,0.0
2013-11-08,24.9,392425.0,23.46,25.02,23.41,0.0
2013-11-11,24.75,239557.0,24.77,25.2499,24.28,0.0
2013-11-12,25.45,279459.0,24.57,25.73,24.4148,0.0
2013-11-13,26.01,120024.0,25.26,26.17,25.15,0.0
2013-11-14,25.38,123825.0,26.07,26.14,25.022,0.0
2013-11-15,26.5,240297.0,25.39,26.61,25.0,0.0
2013-11-18,25.86,281628.0,26.55,26.69,25.59,0.0
2013-11-19,26.03,208769.0,25.79,26.49,25.64,0.0
2013-11-20,26.15,113122.0,26.14,26.28,25.79,0.0
2013-11-21,27.44,221042.0,26.26,27.53,26.205,0.0
2013-11-22,27.09,251025.0,27.48,28.11,26.73,0.0
2013-11-25,27.71,262670.0,27.13,27.96,26.875,0.0
2013-11-26,27.83,245945.0,27.62,27.97,27.42,0.0
2013-11-27,27.98,182933.0,27.91,28.42,27.55,0.0
2013-11-28,27.98,182933.0,27.91,28.42,27.55,1.0
2013-11-29,28.0,92997.0,28.15,28.31,27.65,0.0
2013-12-02,27.05,281304.0,28.34,28.53,26.892,0.0
2013-12-03,26.75,149404.0,27.03,27.29,26.38,0.0
2013-12-04,26.39,209497.0,26.56,26.76,25.74,0.0
2013-12-05,25.62,144831.0,26.32,26.46,25.5,0.0
2013-12-06,26.03,92544.0,25.89,26.26,25.52,0.0
2013-12-09,25.38,311848.0,26.1,26.1,24.7,0.0
2013-12-10,25.62,143609.0,25.27,26.415,25.227,0.0
2013-12-11,25.64,257486.0,25.63,25.8,25.3,0.0
2013-12-12,27.5,478088.0,25.79,28.37,25.78,0.0
2013-12-13,27.12,279062.0,27.55,28.05,26.9186,0.0
2013-12-16,27.67,324387.0,27.35,28.12,26.55,0.0
2013-12-17,27.11,302645.0,27.66,28.13,26.73,0.0
2013-12-18,27.79,246062.0,27.15,27.88,26.932,0.0
2013-12-19,29.1,327323.0,27.74,29.23,27.5,0.0
2013-12-20,29.95,1829092.0,29.24,30.37,29.0,0.0
2013-12-23,30.42,290330.0,30.62,30.84,29.54,0.0
2013-12-24,29.7,216308.0,30.38,30.81,29.58,0.0
2013-12-25,29.7,216308.0,30.38,30.81,29.58,1.0
2013-12-26,30.83,219187.0,29.82,30.86,29.76,0.0
2013-12-27,30.37,134540.0,30.84,31.3235,30.23,0.0
2013-12-30,30.56,137404.0,30.37,31.47,30.15,0.0
2013-12-31,30.79,312311.0,30.78,31.46,30.625,0.0
2014-01-01,30.79,312311.0,30.78,31.46,30.625,1.0
2014-01-02,29.57,239638.0,30.51,30.8582,29.35,0.0
2014-01-03,28.62,251174.0,29.73,29.75,28.25,0.0
2014-01-06,28.73,282696.0,28.53,29.09,28.39,0.0
2014-01-07,28.45,149970.0,28.98,29.048,28.17,0.0
2014-01-08,29.8,299393.0,28.58,30.327,28.5,0.0
2014-01-09,29.46,327126.0,30.03,30.15,29.0,0.0
