datetime,close,volume,open,high,low,missing
2013-10-14,1.55,47436.0,1.55,1.56,1.55,0.0
2013-10-15,1.48,53841.0,1.52,1.551,1.48,0.0
2013-10-16,1.53,141536.0,1.51,1.55,1.4999,0.0
2013-10-17,1.7,656381.0,1.55,1.72,1.55,0.0
2013-10-18,1.8,206930.0,1.67,1.8,1.65,0.0
2013-10-21,1.84,172689.0,1.85,1.86,1.75,0.0
2013-10-22,1.76,57342.0,1.81,1.85,1.75,0.0
2013-10-23,1.74,47747.0,1.75,1.75,1.69,0.0
2013-10-24,1.77,122223.0,1.73,1.8,1.69,0.0
2013-10-25,1.77,92459.0,1.75,1.8,1.75,0.0
2013-10-28,1.75,154623.0,1.76,1.79,1.74,0.0
2013-10-29,1.75,82398.0,1.74,1.76,1.73,0.0
2013-10-30,1.7,92762.0,1.75,1.75,1.67,0.0
2013-10-31,1.68,73702.0,1.7,1.72,1.65,0.0
2013-11-01,1.74,74195.0,1.71,1.76,1.68,0.0
2013-11-04,1.71,97561.0,1.75,1.75,1.69,0.0
2013-11-05,1.8,750953.0,1.8,1.88,1.76,0.0
2013-11-06,1.75,188580.0,1.83,1.83,1.73,0.0
2013-11-07,1.73,90340.0,1.78,1.78,1.7,0.0
2013-11-08,1.75,67202.0,1.73,1.77,1.6999,0.0
2013-11-11,1.8,70290.0,1.81,1.81,1.73,0.0
2013-11-12,2.22,2703419.0,1.81,2.43,1.8,0.0
2013-11-13,2.17,1021460.0,2.23,2.43,2.11,0.0
2013-11-14,2.63,1250214.0,2.25,2.64,2.18,0.0
2013-11-15,2.87,2336307.0,2.64,2.93,2.63,0.0
2013-11-18,3.23,4856602.0,3.06,3.5,2.95,0.0
2013-11-19,3.04,1566858.0,3.23,3.3,2.94,0.0
2013-11-20,2.91,904979.0,3.0,3.03,2.7,0.0
2013-11-21,3.39,2225844.0,3.04,3.58,2.96,0.0
2013-11-22,3.43,1593949.0,3.56,3.7,3.27,0.0
2013-11-25,3.21,863038.0,3.5,3.5,3.17,0.0
2013-11-26,3.21,797558.0,3.4,3.4,3.1,0.0
2013-11-27,2.89,995514.0,3.22,3.29,2.86,0.0
2013-11-28,2.89,995514.0,3.22,3.29,2.86,1.0
2013-11-29,3.21,738492.0,2.86,3.221,2.75,0.0
2013-12-02,3.08,404613.0,3.15,3.2,3.01,0.0
2013-12-03,3.08,355527.0,3.03,3.14,2.97,0.0
2013-12-04,3.11,421355.0,3.04,3.13,2.981,0.0
2013-12-05,2.99,415794.0,3.08,3.1765,2.95,0.0
2013-12-06,3.23,871550.0,3.0,3.26,2.92,0.0
2013-12-09,3.01,390581.0,3.27,3.27,2.99,0.0
2013-12-10,3.05,1321181.0,2.97,3.31,2.9,0.0
2013-12-11,3.09,276690.0,3.07,3.16,3.05,0.0
2013-12-12,2.94,389669.0,3.06,3.14,2.93,0.0
2013-12-13,3.01,171572.0,2.97,3.04,2.93,0.0
2013-12-16,2.97,279423.0,3.04,3.19,2.94,0.0
