datetime,close,volume,open,high,low,missing
2013-10-14,14.72,38163.0,14.96,14.96,14.56,0.0
2013-10-15,14.64,46117.0,14.64,15.12,14.64,0.0
2013-10-16,15.12,39505.0,14.8,15.6,14.56,0.0
2013-10-17,15.8392,86175.0,15.28,16.0,15.2,0.0
2013-10-18,15.68,51802.0,15.92,16.16,15.44,0.0
2013-10-21,15.76,48173.0,15.84,16.0808,15.52,0.0
2013-10-22,15.68,52581.0,16.0,16.08,15.52,0.0
2013-10-23,14.72,152568.0,14.72,15.76,14.24,0.0
2013-10-24,14.72,64704.0,14.96,15.2,14.4,0.0
2013-10-25,14.4,45504.0,14.72,14.8,14.4,0.0
2013-10-28,14.72,30357.0,15.04,15.04,14.32,0.0
2013-10-29,14.64,12871.0,14.64,15.04,14.48,0.0
2013-10-30,14.64,17779.0,14.72,14.968,14.56,0.0
2013-10-31,14.72,22397.0,14.8,14.96,14.48,0.0
2013-11-01,14.56,25898.0,14.88,15.04,14.48,0.0
2013-11-04,14.96,23614.0,14.56,15.04,14.4,0.0
2013-11-05,14.88,42563.0,15.12,15.12,14.72,0.0
2013-11-06,14.48,33738.0,14.88,15.04,14.4,0.0
2013-11-07,13.6,129147.0,14.4,14.9592,13.04,0.0
2013-11-08,13.6,43543.0,13.92,14.16,12.96,0.0
2013-11-11,13.52,31543.0,13.84,13.84,13.2,0.0
2013-11-12,13.04,40415.0,13.76,13.76,13.04,0.0
2013-11-13,12.72,57867.0,13.2,13.28,12.4,0.0
2013-11-14,12.56,33264.0,12.8,13.0376,12.4,0.0
2013-11-15,13.28,35988.0,12.64,13.36,12.48,0.0
2013-11-18,13.12,21711.0,13.52,13.52,12.88,0.0
2013-11-19,12.96,36260.0,12.96,13.28,12.64,0.0
2013-11-20,13.2,36985.0,13.12,13.6,12.72,0.0
2013-11-21,13.12,17122.0,13.2,13.408,12.96,0.0
2013-11-22,13.28,28049.0,13.36,13.5192,13.2,0.0
2013-11-25,15.28,176728.0,13.44,15.6,13.44,0.0
2013-11-26,15.36,61445.0,15.44,15.76,14.8,0.0
2013-11-27,15.44,31270.0,15.52,15.6,15.04,0.0
2013-11-28,15.44,31270.0,15.52,15.6,15.04,1.0
2013-11-29,15.28,9700.0,15.6,15.6,15.2,0.0
