datetime,close,volume,open,high,low,missing
2013-10-14,1.64,3700.0,1.65,1.65,1.62,0.0
2013-10-15,1.64,0.0,1.64,1.64,1.64,0.0
2013-10-16,1.63,1115.0,1.6301,1.6301,1.61,0.0
2013-10-17,1.63,2300.0,1.63,1.63,1.61,0.0
2013-10-18,1.63,0.0,1.63,1.63,1.63,0.0
2013-10-21,1.65,6025.0,1.62,1.6601,1.62,0.0
2013-10-22,1.66,7300.0,1.75,1.75,1.56,0.0
2013-10-23,1.65,5000.0,1.63,1.6501,1.63,0.0
2013-10-24,1.61,3200.0,1.62,1.62,1.43,0.0
2013-10-25,1.61,0.0,1.61,1.61,1.61,0.0
2013-10-28,1.63,4030.0,1.6311,1.6311,1.63,0.0
2013-10-29,1.63,0.0,1.63,1.63,1.63,0.0
2013-10-30,1.64,2500.0,1.64,1.64,1.63,0.0
2013-10-31,1.63,215.0,1.64,1.64,1.63,0.0
2013-11-01,1.65,7799.0,1.64,1.65,1.639,0.0
2013-11-04,1.6301,1400.0,1.63,1.6301,1.63,0.0
2013-11-05,1.6499,6819.0,1.6309,1.65,1.63,0.0
2013-11-06,1.63,700.0,1.65,1.65,1.63,0.0
2013-11-07,1.63,0.0,1.63,1.63,1.63,0.0
2013-11-08,1.63,0.0,1.63,1.63,1.63,0.0
2013-11-11,1.6301,825.0,1.63,1.631,1.63,0.0
2013-11-12,1.63,100.0,1.63,1.63,1.63,0.0
2013-11-13,1.63,246.0,1.63,1.63,1.63,0.0
2013-11-14,1.63,4500.0,1.631,1.631,1.63,0.0
2013-11-15,1.72,14800.0,1.7199,1.75,1.7199,0.0
2013-11-18,1.75,2500.0,1.751,1.751,1.75,0.0
2013-11-19,1.75,2800.0,1.75,1.75,1.75,0.0
2013-11-20,1.7665,1100.0,1.75,1.7665,1.75,0.0
2013-11-21,1.72,1500.0,1.72,1.72,1.72,0.0
2013-11-22,1.7201,500.0,1.7201,1.7201,1.7201,0.0
2013-11-25,1.6543,1000.0,1.6543,1.6543,1.6543,0.0
2013-11-26,1.67,500.0,1.67,1.67,1.67,0.0
2013-11-27,1.67,0.0,1.67,1.67,1.67,0.0
2013-11-28,1.67,0.0,1.67,1.67,1.67,1.0
