datetime,close,open,high,low,volume,missing
2015-02-02,2020.85,1996.67,2021.66,1980.9,,0
2015-02-03,2050.03,2022.71,2050.3,2022.71,,0
2015-02-04,2041.51,2048.86,2054.74,2036.72,,0
2015-02-05,2062.52,2043.45,2063.55,2043.45,,0
2015-02-06,2055.47,2062.28,2072.4,2049.97,,0
2015-02-09,2046.74,2053.47,2056.16,2041.88,,0
2015-02-10,2068.59,2049.38,2070.86,2048.62,,0
2015-02-11,2068.53,2068.55,2073.48,2057.99,,0
2015-02-12,2088.48,2069.98,2088.53,2069.98,,0
2015-02-13,2096.99,2088.78,2097.03,2086.7,,0
2015-02-17,2100.34,2096.47,2101.3,2089.8,,0
2015-02-18,2099.68,2099.16,2100.23,2092.15,,0
2015-02-19,2097.45,2099.25,2102.13,2090.79,,0
2015-02-20,2110.3,2097.65,2110.61,2085.44,,0
2015-02-23,2109.66,2109.83,2110.05,2103.0,,0
2015-02-24,2115.48,2109.1,2117.94,2105.87,,0
2015-02-25,2113.86,2115.3,2119.59,2109.89,,0
2015-02-26,2110.74,2113.91,2113.91,2103.76,,0
2015-02-27,2104.5,2110.88,2112.74,2103.75,,0
2015-03-02,2117.39,2105.23,2117.52,2104.5,,0
2015-03-03,2107.78,2115.76,2115.76,2098.26,,0
2015-03-04,2098.53,2107.72,2107.72,2087.62,,0
2015-03-05,2101.04,2098.54,2104.25,2095.22,,0
2015-03-06,2071.26,2100.91,2100.91,2067.27,,0
2015-03-09,2079.43,2072.25,2083.49,2072.21,,0
2015-03-10,2044.16,2076.14,2076.14,2044.16,,0
2015-03-11,2040.24,2044.69,2050.08,2039.69,,0
2015-03-12,2065.95,2041.1,2066.41,2041.1,,0
2015-03-13,2053.4,2064.56,2064.56,2041.17,,0
2015-03-16,2081.19,2055.35,2081.41,2055.35,,0
2015-03-17,2074.28,2080.59,2080.59,2065.08,,0
2015-03-18,2099.5,2072.84,2106.85,2061.23,,0
2015-03-19,2089.27,2098.69,2098.69,2085.56,,0
2015-03-20,2108.1,2090.32,2113.92,2090.32,,0
2015-03-23,2104.42,2107.99,2114.86,2104.42,,0
2015-03-24,2091.5,2103.94,2107.63,2091.5,,0
2015-03-25,2061.05,2093.1,2097.43,2061.05,,0
2015-03-26,2056.15,2059.94,2067.15,2045.5,,0
2015-03-27,2061.02,2055.78,2062.83,2052.96,,0
2015-03-30,2086.24,2064.11,2088.97,2064.11,,0
2015-03-31,2067.89,2084.05,2084.05,2067.04,,0
2015-04-01,2059.69,2067.63,2067.63,2048.38,,0
2015-04-02,2066.96,2060.03,2072.17,2057.32,,0
2015-04-06,2080.62,2064.87,2086.99,2056.52,,0
2015-04-07,2076.33,2080.79,2089.81,2076.1,,0
2015-04-08,2081.9,2076.94,2086.69,2073.3,,0
2015-04-09,2091.18,2081.29,2093.31,2074.29,,0
2015-04-10,2102.06,2091.51,2102.61,2091.51,,0
2015-04-13,2092.43,2102.03,2107.65,2092.33,,0
2015-04-14,2095.84,2092.28,2098.62,2083.24,,0
2015-04-15,2106.63,2097.82,2111.91,2097.82,,0
2015-04-16,2104.99,2105.96,2111.3,2100.02,,0
2015-04-17,2081.18,2102.58,2102.58,2072.37,,0
2015-04-20,2100.4,2084.11,2103.94,2084.11,,0
2015-04-21,2097.29,2102.82,2109.64,2094.38,,0
2015-04-22,2107.96,2098.27,2109.98,2091.05,,0
2015-04-23,2112.93,2107.21,2120.49,2103.19,,0
2015-04-24,2117.69,2112.8,2120.92,2112.8,,0
2015-04-27,2108.92,2119.29,2125.92,2107.04,,0
2015-04-28,2114.76,2108.35,2116.09,2094.89,,0
2015-04-29,2106.85,2112.49,2113.65,2097.41,,0
2015-04-30,2085.51,2105.52,2105.52,2077.59,,0
2015-05-01,2108.29,2087.38,2108.41,2087.38,,0
2015-05-04,2114.49,2110.23,2120.95,2110.23,,0
2015-05-05,2089.46,2112.63,2115.24,2088.46,,0
2015-05-06,2080.15,2091.26,2098.42,2067.93,,0
2015-05-07,2088.0,2079.96,2092.9,2074.99,,0
2015-05-08,2116.1,2092.13,2117.66,2092.13,,0
2015-05-11,2105.33,2115.56,2117.69,2104.58,,0
2015-05-12,2099.12,2102.87,2105.06,2085.57,,0
2015-05-13,2098.48,2099.62,2110.19,2096.04,,0
2015-05-14,2121.1,2100.43,2121.45,2100.43,,0
2015-05-15,2122.73,2122.07,2123.89,2116.79,,0
2015-05-18,2129.2,2121.3,2131.78,2120.01,,0
2015-05-19,2127.83,2129.45,2133.02,2124.5,,0
2015-05-20,2125.85,2127.79,2134.72,2122.59,,0
2015-05-21,2130.82,2125.55,2134.28,2122.95,,0
2015-05-22,2126.06,2130.36,2132.15,2126.06,,0
2015-05-26,2104.2,2125.34,2125.34,2099.18,,0
2015-05-27,2123.48,2105.13,2126.22,2105.13,,0
2015-05-28,2120.79,2122.27,2122.27,2112.86,,0
2015-05-29,2107.39,2120.66,2120.66,2104.89,,0
2015-06-01,2111.73,2108.64,2119.15,2102.54,,0
