"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 13, 2018","6,195.0","6,180.8","6,214.1","6,168.8","2.27K","0.16%"
"Oct 12, 2018","6,184.9","6,152.8","6,238.3","6,109.8","3.25K","0.39%"
"Oct 11, 2018","6,161.0","6,517.5","6,518.4","6,067.0","9.62K","-5.47%"
"Oct 10, 2018","6,517.5","6,588.7","6,589.8","6,400.0","5.18K","-1.08%"
"Oct 09, 2018","6,588.8","6,604.8","6,623.1","6,553.1","2.25K","-0.24%"
"Oct 08, 2018","6,604.8","6,574.1","6,652.0","6,541.1","4.08K","0.46%"
"Oct 07, 2018","6,574.3","6,544.1","6,600.0","6,493.9","2.46K","0.46%"
"Oct 06, 2018","6,544.1","6,584.8","6,594.2","6,526.3","2.02K","-0.65%"
"Oct 05, 2018","6,587.0","6,547.6","6,639.0","6,513.3","3.81K","0.60%"
"Oct 04, 2018","6,547.6","6,456.8","6,594.9","6,450.6","3.84K","1.41%"
"Oct 03, 2018","6,456.8","6,500.0","6,510.0","6,396.3","4.77K","-0.67%"
"Oct 02, 2018","6,500.0","6,571.2","6,597.0","6,447.9","4.12K","-1.08%"
"Oct 01, 2018","6,571.2","6,597.8","6,638.1","6,477.6","4.80K","-0.40%"
"Sep 30, 2018","6,597.8","6,579.4","6,628.0","6,515.2","2.48K","0.28%"
"Sep 29, 2018","6,579.4","6,609.0","6,609.0","6,457.6","3.38K","-0.47%"
"Sep 28, 2018","6,610.8","6,683.4","6,792.3","6,525.7","7.64K","-1.06%"
"Sep 27, 2018","6,681.6","6,461.0","6,733.0","6,432.3","5.67K","3.41%"
"Sep 26, 2018","6,461.0","6,429.0","6,540.0","6,379.4","4.30K","0.50%"
"Sep 25, 2018","6,429.0","6,581.5","6,581.5","6,325.0","8.21K","-2.32%"
"Sep 24, 2018","6,581.5","6,702.2","6,721.7","6,551.0","4.03K","-1.80%"
"Sep 23, 2018","6,702.2","6,710.0","6,774.9","6,659.4","3.25K","-0.12%"
"Sep 22, 2018","6,710.0","6,749.5","6,826.3","6,624.8","5.49K","-0.58%"
