"date","close","volume","open","high","low"

"2018/10/12","6.8500","1168809.0000","6.8650","6.9900","6.7800"
"2018/10/11","6.7800","2474177.0000","6.9900","6.9900","6.7500"
"2018/10/10","7.3100","1375187.0000","7.6500","7.6500","7.2500"
"2018/10/09","7.7250","852224.0000","7.8200","7.9000","7.5100"
"2018/10/08","7.8800","1449013.0000","7.3000","7.9100","7.3000"
"2018/10/05","7.3000","996218.0000","7.5000","7.5000","7.2000"
"2018/10/04","7.4600","1034615.0000","7.2800","7.5000","7.2000"
"2018/10/03","7.3600","1369991.0000","7.3500","7.5000","7.1600"
"2018/10/02","7.4000","1778452.0000","7.6800","7.8000","7.3400"
"2018/10/01","7.7300","1366420.0000","7.8600","7.9500","7.6700"
"2018/09/28","7.9400","1272352.0000","8.1100","8.1800","7.9000"
"2018/09/27","8.0800","1916117.0000","8.0750","8.1100","7.8500"
"2018/09/26","8.0300","2268350.0000","8.0500","8.1700","7.9500"
"2018/09/25","8.0500","2699260.0000","8.0700","8.1500","7.8700"
"2018/09/24","8.3200","1285126.0000","8.7000","8.7000","8.2600"
"2018/09/21","8.8500","2401425.0000","8.2800","8.9000","8.2700"
"2018/09/20","8.0900","996993.0000","8.1500","8.2200","8.0000"
"2018/09/19","8.1700","1601519.0000","8.0400","8.2000","7.8500"
"2018/09/18","8.1000","766292.0000","8.2450","8.2500","8.0500"
"2018/09/17","8.0400","1300135.0000","8.3750","8.5000","8.0000"
"2018/09/14","8.5500","807270.0000","8.7100","8.7300","8.4100"
"2018/09/13","8.6900","1412433.0000","8.4500","8.7500","8.3500"
"2018/09/12","8.2400","1028324.0000","8.1000","8.3400","7.9600"
"2018/09/11","8.1400","1405850.0000","8.1700","8.2300","7.8700"
"2018/09/10","8.2300","1351634.0000","8.5400","8.5800","8.0200"
"2018/09/07","8.3400","1364126.0000","8.7250","8.8000","8.3200"
"2018/09/06","8.5800","1789845.0000","8.5600","8.8400","8.5100"
"2018/09/05","8.8500","2088598.0000","9.1300","9.1300","8.8300"
"2018/09/04","9.5000","1553452.0000","9.8600","9.9000","9.3300"
"2018/08/31","9.5000","913852.0000","9.1000","9.5200","9.0500"
"2018/08/30","9.1300","1170928.0000","9.2000","9.2400","9.1000"
"2018/08/29","9.4900","1521157.0000","9.8500","9.9500","9.3600"
"2018/08/28","9.8600","2316955.0000","9.7800","9.9000","9.5600"
"2018/08/27","9.3400","1237695.0000","9.2400","9.3500","9.0400"
"2018/08/24","9.1800","1381550.0000","8.8450","9.2000","8.8400"
"2018/08/23","8.8200","944447.0000","8.8200","8.9900","8.7500"
"2018/08/22","8.9300","1458336.0000","9.2100","9.2200","8.8000"
"2018/08/21","8.8700","1247028.0000","8.9400","9.0000","8.7300"
"2018/08/20","8.7600","1266183.0000","8.8750","9.0500","8.7500"
"2018/08/17","8.8700","3089786.0000","9.1500","9.2400","8.7600"
"2018/08/16","9.1000","2923424.0000","9.5900","9.6000","9.0500"
"2018/08/15","9.6400","2357140.0000","9.6050","9.7800","9.2600"
"2018/08/14","9.2000","1993300.0000","9.2100","9.4000","9.1000"
"2018/08/13","9.4100","2099204.0000","9.8450","9.9800","9.3500"
"2018/08/10","9.6000","1281395.0000","9.7650","9.9900","9.5700"
"2018/08/09","9.7400","2174935.0000","9.7150","10.0300","9.5600"
"2018/08/08","9.7300","3777128.0000","9.5450","9.9400","9.5000"
"2018/08/07","10.1300","1333246.0000","10.2200","10.3700","10.0700"
"2018/08/06","9.9700","2340849.0000","9.6850","10.1000","9.6600"
"2018/08/03","10.1500","2150111.0000","10.0900","10.6400","10.0000"
"2018/08/02","10.3500","1672324.0000","10.0500","10.5000","9.9000"
"2018/08/01","10.1000","1870940.0000","10.3650","10.3900","9.9200"
"2018/07/31","10.4200","2814303.0000","10.8400","10.8400","10.3700"
"2018/07/30","11.1100","2299853.0000","11.8500","11.8600","10.8100"
"2018/07/27","11.9500","3081955.0000","11.5750","12.1100","11.1500"
"2018/07/26","12.1000","1322281.0000","11.9100","12.1200","11.6500"
"2018/07/25","11.8800","3138477.0000","12.3350","12.3400","11.5700"
"2018/07/24","12.2600","4184048.0000","12.2000","12.3600","12.1400"
"2018/07/23","11.5800","3378356.0000","11.6800","11.8700","11.4000"
"2018/07/20","11.0000","2883560.0000","11.2000","11.5900","10.8650"
"2018/07/19","10.9500","3275185.0000","10.9450","11.3500","10.5600"
"2018/07/18","10.8300","6400224.0000","11.7800","12.1600","10.7500"
"2018/07/17","11.4900","5224545.0000","10.4500","11.6000","10.3200"
"2018/07/16","10.3000","3047461.0000","9.8750","10.3300","9.8200"
"2018/07/13","9.2400","1141174.0000","9.4100","9.5500","9.2000"
"2018/07/12","9.3100","1577593.0000","9.0500","9.4000","8.8500"
"2018/07/11","9.3500","885748.0000","9.4250","9.5400","9.2300"
"2018/07/10","9.2700","3730074.0000","9.5700","9.8500","9.2500"
"2018/07/09","10.3000","2172048.0000","10.3700","10.6600","10.2500"
"2018/07/06","10.2300","1277628.0000","10.0850","10.2800","10.0300"
"2018/07/05","10.0500","1853712.0000","10.0200","10.3100","9.9500"
"2018/07/03","10.0100","1000581.0000","10.3050","10.3100","9.8000"
"2018/07/02","10.2000","4230882.0000","9.2600","10.3000","9.2000"
"2018/06/29","8.5300","1892482.0000","8.2650","8.6900","8.2500"
"2018/06/28","8.9400","2173975.0000","8.4950","9.2400","8.2400"
"2018/06/27","8.5200","5544879.0000","9.0750","9.0800","8.3400"
"2018/06/26","9.2300","3693069.0000","9.8600","9.8800","9.2000"
"2018/06/25","9.8000","3921987.0000","10.0850","10.2300","9.7000"
"2018/06/22","10.1000","3690889.0000","10.3300","10.3300","10.0600"
"2018/06/21","10.7000","1112121.0000","10.8500","10.9000","10.7000"
"2018/06/20","10.9000","1320829.0000","10.9100","11.1200","10.8175"
"2018/06/19","11.0000","1592406.0000","11.1600","11.4000","10.7900"
"2018/06/18","11.0500","2086369.0000","10.8400","11.3900","10.7600"
"2018/06/15","10.9500","2481050.0000","11.2900","11.2900","10.9000"
"2018/06/14","11.5300","4186580.0000","10.7300","11.5900","10.6100"
"2018/06/13","10.6000","5518034.0000","11.1900","11.2000","10.5200"
"2018/06/12","11.2900","3516336.0000","11.4850","11.8600","11.1600"
"2018/06/11","11.7000","4427020.0000","11.1100","11.7400","11.1000"
"2018/06/08","12.7000","1022366.0000","12.5550","12.9100","12.3500"
"2018/06/07","12.8600","1069467.0000","12.7200","12.8600","12.6100"
"2018/06/06","12.4500","2567948.0000","12.4500","12.8600","12.3000"
"2018/06/05","12.4300","1855877.0000","11.9200","12.4500","11.8000"
"2018/06/04","11.9800","1263455.0000","12.0900","12.1100","11.9100"
"2018/06/01","12.1000","937828.0000","12.3000","12.3000","11.9000"
"2018/05/31","12.2799","1407743.0000","12.1000","12.3000","11.9100"
"2018/05/30","11.9600","1789650.0000","12.2500","12.4000","11.7600"
"2018/05/29","12.1500","2226461.0000","12.4450","12.6000","11.9100"
"2018/05/25","12.1500","1077130.0000","12.1500","12.2700","11.9600"
"2018/05/24","12.2400","2258571.0000","11.5550","12.2800","11.5500"
"2018/05/23","12.2200","6441486.0000","12.8550","12.9000","11.5600"
"2018/05/22","13.0800","1926438.0000","13.3100","13.3500","13.0800"
"2018/05/21","13.6100","1253617.0000","13.9550","13.9800","13.5400"
"2018/05/18","13.5350","1947860.0000","13.5400","13.8200","13.1000"
"2018/05/17","13.5300","1590529.0000","13.7650","13.9200","13.4900"
"2018/05/16","13.7500","2136296.0000","13.9000","13.9900","13.5500"
"2018/05/15","14.2500","1953235.0000","14.5900","14.6800","13.9000"
"2018/05/14","14.5000","2890429.0000","13.9750","14.7500","13.8100"
"2018/05/11","14.1000","3952731.0000","13.7100","14.1900","13.3600"
"2018/05/10","14.5800","2666364.0000","15.2000","15.2000","14.3600"
"2018/05/09","14.9700","2343370.0000","15.0200","15.1700","14.9000"
"2018/05/08","14.7101","2462899.0000","14.6700","14.7101","14.3600"
"2018/05/07","14.9700","3125884.0000","14.9700","15.1400","14.6100"
"2018/05/04","15.5900","2529075.0000","15.5250","15.7000","15.2600"
"2018/05/03","15.2000","3854155.0000","14.8900","15.6400","14.8900"
"2018/05/02","14.4400","2087751.0000","14.9000","15.1500","14.3000"
"2018/05/01","14.9400","2554877.0000","15.3000","15.3300","14.7600"
"2018/04/30","15.8500","2348925.0000","16.1400","16.2400","15.6200"
"2018/04/27","15.5000","3294509.0000","15.9900","16.2000","15.3700"
"2018/04/26","15.3500","3008876.0000","14.9000","15.5500","14.5000"
"2018/04/25","15.0700","6974751.0000","15.9250","15.9300","13.9000"
"2018/04/24","16.8800","5614493.0000","16.1400","16.8801","16.0000"
"2018/04/23","15.2500","3006712.0000","15.4100","15.5500","15.0100"
"2018/04/20","14.8500","4060123.0000","14.5600","14.8500","14.2500"
"2018/04/19","13.6500","2516055.0000","13.4000","13.8800","13.3500"
"2018/04/18","13.2400","2134557.0000","12.9750","13.2500","12.7500"
"2018/04/17","12.4300","3136711.0000","13.3700","13.5500","12.1900"
