"date","close","volume","open","high","low"

"2018/10/12","0.6085","698911.0000","0.6000","0.6780","0.5900"
"2018/10/11","0.5850","734764.0000","0.6300","0.6300","0.5700"
"2018/10/10","0.6300","397095.0000","0.6600","0.6810","0.6300"
"2018/10/09","0.6700","413108.0000","0.7000","0.7000","0.6550"
"2018/10/08","0.7100","461242.0000","0.6980","0.7190","0.6676"
"2018/10/05","0.6747","227394.0000","0.6820","0.7150","0.6600"
"2018/10/04","0.7000","575715.0000","0.6700","0.7200","0.6600"
"2018/10/03","0.6698","766839.0000","0.6818","0.6870","0.6500"
"2018/10/02","0.6870","629852.0000","0.7101","0.7350","0.6700"
"2018/10/01","0.7199","340202.0000","0.7385","0.7400","0.7100"
"2018/09/28","0.7295","630255.0000","0.7455","0.7700","0.7200"
"2018/09/27","0.7684","703597.0000","0.7600","0.7900","0.7300"
"2018/09/26","0.7746","678659.0000","0.7600","0.7958","0.7300"
"2018/09/25","0.7300","1089965.0000","0.7700","0.7752","0.7002"
"2018/09/24","0.7556","1015635.0000","0.8340","0.8500","0.7500"
"2018/09/21","0.8200","993006.0000","0.8700","0.8700","0.8200"
"2018/09/20","0.8300","356605.0000","0.8500","0.8530","0.8300"
"2018/09/19","0.8300","607212.0000","0.8400","0.8600","0.8300"
"2018/09/18","0.8600","724962.0000","0.8300","0.8823","0.8260"
"2018/09/17","0.8300","284778.0000","0.8482","0.8490","0.8251"
"2018/09/14","0.8420","397834.0000","0.8429","0.8682","0.8400"
"2018/09/13","0.8600","352799.0000","0.8390","0.8800","0.8390"
"2018/09/12","0.8285","475274.0000","0.8500","0.8500","0.8100"
"2018/09/11","0.8540","453204.0000","0.8700","0.8800","0.8425"
"2018/09/10","0.8895","342216.0000","0.8700","0.9030","0.8700"
"2018/09/07","0.8825","439205.0000","0.9000","0.9001","0.8700"
"2018/09/06","0.9000","578502.0000","0.8700","0.9200","0.8650"
"2018/09/05","0.9100","1444921.0000","0.9800","0.9800","0.9000"
"2018/09/04","1.0000","2114463.0000","1.0400","1.0700","0.9800"
"2018/08/31","0.9800","666362.0000","0.9333","1.0000","0.9300"
"2018/08/30","0.9252","606175.0000","0.9490","0.9500","0.9000"
"2018/08/29","0.9700","1678358.0000","1.0100","1.0400","0.9320"
"2018/08/28","1.0000","3979837.0000","0.9500","1.0700","0.9500"
"2018/08/27","0.9102","1169955.0000","0.8870","0.9300","0.8510"
"2018/08/24","0.8787","437779.0000","0.8500","0.8787","0.8500"
"2018/08/23","0.8600","535192.0000","0.9000","0.9150","0.8450"
"2018/08/22","0.8920","516259.0000","0.8900","0.9000","0.8600"
"2018/08/21","0.8715","185153.0000","0.9000","0.9000","0.8600"
"2018/08/20","0.8800","321692.0000","0.8900","0.9150","0.8500"
"2018/08/17","0.8917","663436.0000","0.8500","0.9000","0.8320"
"2018/08/16","0.8600","456267.0000","0.9000","0.9099","0.8300"
"2018/08/15","0.8868","1024526.0000","0.9000","0.9300","0.8300"
"2018/08/14","0.8999","746624.0000","0.9400","0.9499","0.8700"
"2018/08/13","0.9640","279640.0000","0.9700","0.9700","0.9300"
"2018/08/10","0.9602","300447.0000","0.9600","0.9849","0.9500"
"2018/08/09","0.9622","368338.0000","0.9566","0.9859","0.9300"
"2018/08/08","0.9651","690830.0000","0.9800","0.9900","0.9201"
"2018/08/07","0.9900","505183.0000","1.0000","1.0295","0.9900"
"2018/08/06","0.9999","703398.0000","1.0100","1.0500","0.9850"
"2018/08/03","1.0300","632395.0000","1.0500","1.0800","1.0091"
"2018/08/02","1.0500","612752.0000","1.0000","1.0900","0.9800"
"2018/08/01","1.0100","407974.0000","1.0500","1.0500","1.0100"
"2018/07/31","1.0500","699999.0000","1.1000","1.1000","1.0200"
"2018/07/30","1.1300","795482.0000","1.1400","1.1700","1.0400"
"2018/07/27","1.1689","1366320.0000","1.1800","1.2000","1.0841"
"2018/07/26","1.2389","914936.0000","1.2800","1.3200","1.2100"
"2018/07/25","1.2550","2819885.0000","1.3400","1.3700","1.2300"
"2018/07/24","1.4200","17759170.0000","1.3900","1.5600","1.3300"
"2018/07/23","1.1850","2936629.0000","1.1500","1.2500","1.1400"
"2018/07/20","1.0900","1410305.0000","1.1400","1.2300","1.0900"
"2018/07/19","1.1400","2197703.0000","1.1200","1.1900","1.0900"
"2018/07/18","1.0900","5519470.0000","1.2300","1.3200","1.0800"
"2018/07/17","1.2500","7791935.0000","1.0300","1.3500","0.9000"
"2018/07/16","1.0100","3246655.0000","0.8900","1.1300","0.8900"
"2018/07/13","0.8903","424283.0000","0.8341","0.9159","0.8304"
"2018/07/12","0.8412","331476.0000","0.8451","0.8500","0.8200"
"2018/07/11","0.8451","354057.0000","0.8800","0.8885","0.8450"
"2018/07/10","0.8836","339192.0000","0.9200","0.9200","0.8800"
"2018/07/09","0.9101","372739.0000","0.8600","0.9349","0.8600"
"2018/07/06","0.8923","340462.0000","0.9400","0.9400","0.8835"
"2018/07/05","0.9288","267444.0000","0.9500","0.9500","0.9087"
"2018/07/03","0.9253","372933.0000","0.9500","0.9503","0.9000"
"2018/07/02","0.9400","1039107.0000","0.9100","0.9400","0.8809"
"2018/06/29","0.9189","528508.0000","0.9500","0.9700","0.9000"
"2018/06/28","0.9500","287516.0000","0.9817","0.9999","0.9500"
"2018/06/27","0.9817","347886.0000","0.9700","1.0200","0.9602"
"2018/06/26","0.9801","828327.0000","1.0200","1.0299","0.9300"
"2018/06/25","1.0350","456097.0000","1.1200","1.1200","1.0300"
"2018/06/22","1.0950","364572.0000","1.1100","1.1300","1.0500"
"2018/06/21","1.1472","249037.0000","1.1700","1.1701","1.1400"
"2018/06/20","1.1500","469260.0000","1.1600","1.1800","1.1500"
"2018/06/19","1.1700","230280.0000","1.2000","1.2090","1.1700"
"2018/06/18","1.1900","288511.0000","1.1800","1.2000","1.1700"
"2018/06/15","1.2100","415591.0000","1.2300","1.2500","1.1800"
"2018/06/14","1.2100","623074.0000","1.1900","1.2140","1.1500"
"2018/06/13","1.1800","491995.0000","1.1800","1.2000","1.1600"
"2018/06/12","1.1701","516302.0000","1.2300","1.2300","1.1600"
"2018/06/11","1.2000","1207004.0000","1.2600","1.2700","1.2000"
"2018/06/08","1.2900","303170.0000","1.3300","1.3500","1.2900"
"2018/06/07","1.3100","420930.0000","1.3300","1.3590","1.3000"
"2018/06/06","1.3300","1270751.0000","1.3500","1.4000","1.2900"
"2018/06/05","1.3300","819208.0000","1.2700","1.3600","1.2500"
"2018/06/04","1.2800","643068.0000","1.3600","1.3650","1.2600"
"2018/06/01","1.3500","410749.0000","1.3800","1.3889","1.3200"
"2018/05/31","1.3900","1442057.0000","1.3000","1.4100","1.2700"
"2018/05/30","1.2999","295362.0000","1.3300","1.3399","1.2800"
"2018/05/29","1.3200","325014.0000","1.3300","1.3500","1.3000"
"2018/05/25","1.3000","294589.0000","1.3000","1.3500","1.2900"
"2018/05/24","1.2980","372390.0000","1.2700","1.3200","1.2700"
"2018/05/23","1.2900","833215.0000","1.3100","1.3100","1.2500"
"2018/05/22","1.3500","731268.0000","1.3800","1.3900","1.3200"
"2018/05/21","1.3901","658560.0000","1.4500","1.4700","1.3901"
"2018/05/18","1.4700","748869.0000","1.4600","1.5300","1.4301"
"2018/05/17","1.4800","1188053.0000","1.4100","1.5800","1.3800"
"2018/05/16","1.4000","789194.0000","1.3800","1.4200","1.3300"
"2018/05/15","1.3900","680612.0000","1.4100","1.4300","1.3800"
"2018/05/14","1.4400","1089709.0000","1.3700","1.4490","1.3400"
"2018/05/11","1.3700","920290.0000","1.3500","1.4200","1.3500"
"2018/05/10","1.4300","1106809.0000","1.5100","1.5400","1.4000"
"2018/05/09","1.5100","1143162.0000","1.4800","1.5800","1.4600"
"2018/05/08","1.4500","1706571.0000","1.5600","1.5900","1.4500"
"2018/05/07","1.5900","1017501.0000","1.5800","1.6400","1.5600"
"2018/05/04","1.6500","1853281.0000","1.8000","1.8000","1.6100"
"2018/05/03","1.7600","2815521.0000","1.5600","1.7700","1.5600"
"2018/05/02","1.5700","1286044.0000","1.6400","1.6800","1.5500"
"2018/05/01","1.6100","1834708.0000","1.6900","1.7100","1.5600"
"2018/04/30","1.8100","1732931.0000","1.9200","1.9299","1.7500"
"2018/04/27","1.9000","5662018.0000","1.8000","2.1000","1.8000"
"2018/04/26","1.8000","1674373.0000","1.7200","1.8800","1.6500"
"2018/04/25","1.7600","4038535.0000","1.7900","1.8500","1.6100"
"2018/04/24","1.9300","8699567.0000","1.6000","1.9400","1.5700"
"2018/04/23","1.5300","1499640.0000","1.5000","1.5890","1.4500"
"2018/04/20","1.4300","764946.0000","1.4400","1.4500","1.4000"
"2018/04/19","1.3500","743967.0000","1.4200","1.4400","1.3210"
"2018/04/18","1.4300","682813.0000","1.4700","1.4700","1.3500"
"2018/04/17","1.4500","1472130.0000","1.4700","1.5300","1.3800"
"2018/04/16","1.4100","1318870.0000","1.5200","1.5400","1.3601"
"2018/04/13","1.5000","6056939.0000","1.6400","1.7200","1.4400"
"2018/04/12","1.4200","13423800.0000","1.3600","1.6500","1.3100"
"2018/04/11","1.1800","563845.0000","1.1600","1.2000","1.1400"
"2018/04/10","1.1700","637401.0000","1.2000","1.2000","1.1400"
"2018/04/09","1.1600","795262.0000","1.1600","1.2200","1.1200"
"2018/04/06","1.1300","763961.0000","1.1800","1.2600","1.1200"
"2018/04/05","1.1800","2026246.0000","1.2000","1.3500","1.1000"
"2018/04/04","1.2300","1976939.0000","1.0800","1.2400","0.9749"
"2018/04/03","1.1200","2355369.0000","0.9900","1.1400","0.9200"
"2018/04/02","1.1400","570852.0000","1.1800","1.1800","1.1200"
"2018/03/29","1.1200","974587.0000","1.2400","1.2500","1.1000"
"2018/03/28","1.2400","947286.0000","1.2200","1.2900","1.2000"
"2018/03/27","1.2000","2023353.0000","1.4600","1.4600","1.1900"
"2018/03/26","1.3200","1711448.0000","1.4300","1.4300","1.2900"
"2018/03/23","1.4100","1692440.0000","1.5600","1.5600","1.4000"
"2018/03/22","1.5900","2294527.0000","1.5400","1.6000","1.4400"
"2018/03/21","1.6100","11551650.0000","1.6000","1.9700","1.5500"
"2018/03/20","1.3400","1844649.0000","1.5300","1.5524","1.3300"
"2018/03/19","1.5300","1381554.0000","1.6900","1.6900","1.5100"
"2018/03/16","1.6450","1672201.0000","1.6100","1.7400","1.6100"
"2018/03/15","1.6200","1716293.0000","1.7100","1.8000","1.6100"
"2018/03/14","1.7800","2356002.0000","2.0100","2.0300","1.6900"
"2018/03/13","1.9700","3778178.0000","2.3600","2.3600","1.9500"
"2018/03/12","2.4300","14275480.0000","1.6000","2.5500","1.5800"
"2018/03/09","1.5315","1132141.0000","1.7300","1.7300","1.5300"
"2018/03/08","1.6900","919082.0000","1.8200","1.8799","1.6800"
"2018/03/07","1.8200","631708.0000","1.9200","1.9590","1.8200"
"2018/03/06","1.9700","813343.0000","2.1100","2.1100","1.9600"
"2018/03/05","2.0700","725238.0000","2.0700","2.1800","2.0200"
"2018/03/02","2.1100","977607.0000","2.0600","2.1900","1.9500"
"2018/03/01","2.1000","506008.0000","2.2300","2.3000","2.0700"
"2018/02/28","2.2300","541671.0000","2.4300","2.4350","2.1900"
"2018/02/27","2.3900","388031.0000","2.5000","2.5400","2.3500"
"2018/02/26","2.4800","516222.0000","2.4600","2.5800","2.2200"
"2018/02/23","2.3600","263439.0000","2.4200","2.4800","2.3500"
"2018/02/22","2.4300","290331.0000","2.5000","2.6000","2.4010"
"2018/02/21","2.5100","347177.0000","2.7000","2.7000","2.5000"
"2018/02/20","2.6800","529124.0000","2.8500","2.8500","2.6500"
"2018/02/16","2.6500","758280.0000","2.9500","2.9500","2.6500"
"2018/02/15","2.8000","1522878.0000","2.9000","3.0000","2.7500"
"2018/02/14","2.6500","653070.0000","2.4300","2.7700","2.4300"
"2018/02/13","2.4600","232766.0000","2.5000","2.5300","2.4001"
"2018/02/12","2.5300","433384.0000","2.5300","2.6400","2.4800"
"2018/02/09","2.4600","481049.0000","2.5500","2.5500","2.3100"
"2018/02/08","2.5600","298760.0000","2.8500","2.8500","2.5300"
"2018/02/07","2.6500","844716.0000","2.8400","2.8892","2.6300"
"2018/02/06","2.6100","840873.0000","2.3000","2.6400","2.2500"
"2018/02/05","2.3700","714431.0000","2.7000","2.7500","2.3500"
"2018/02/02","2.7600","834010.0000","3.0100","3.0600","2.7600"
"2018/02/01","3.0700","765818.0000","3.1100","3.3000","3.0508"
"2018/01/31","3.2100","3602352.0000","2.9400","3.6000","2.9400"
"2018/01/30","2.9000","844116.0000","3.1000","3.1838","2.8700"
"2018/01/29","3.1300","824666.0000","3.2600","3.3200","3.1000"
"2018/01/26","3.3000","857300.0000","3.5000","3.5200","3.3000"
"2018/01/25","3.5000","733099.0000","3.4200","3.5900","3.4200"
"2018/01/24","3.5100","1582306.0000","3.4000","3.5906","3.3000"
"2018/01/23","3.4000","914581.0000","3.3100","3.5000","3.2500"
"2018/01/22","3.3500","1266143.0000","3.5000","3.5600","3.2600"
"2018/01/19","3.5000","1352677.0000","3.8700","3.8700","3.5000"
"2018/01/18","3.7300","8008754.0000","4.0200","4.2000","3.7300"
"2018/01/17","3.4700","2203325.0000","3.5400","3.6600","3.0700"
"2018/01/16","3.5900","2539603.0000","3.9600","3.9691","3.4700"
"2018/01/12","4.1700","10848820.0000","5.0000","5.0600","4.1300"
"2018/01/11","3.8400","1336156.0000","4.1400","4.1400","3.8200"
"2018/01/10","3.9800","2920971.0000","3.8000","4.2900","3.6000"
"2018/01/09","3.8200","819797.0000","3.9400","3.9400","3.7000"
"2018/01/08","3.8900","1707558.0000","4.0000","4.0190","3.5701"
"2018/01/05","3.9300","1359285.0000","4.2000","4.2700","3.9200"
"2018/01/04","4.0700","1204994.0000","4.1600","4.2600","4.0100"
"2018/01/03","4.1900","2391703.0000","4.3300","4.6300","4.1000"
"2018/01/02","4.3200","2016416.0000","4.1000","4.3200","3.8900"
"2017/12/29","4.1000","1188387.0000","4.4000","4.4300","4.0800"
"2017/12/28","4.3100","1486765.0000","4.6000","4.6300","4.1800"
"2017/12/27","4.7200","1049634.0000","4.5800","4.8497","4.5600"
"2017/12/26","4.5300","1765163.0000","4.7200","4.8800","4.5300"
"2017/12/22","4.4400","3068629.0000","4.0400","4.7000","3.9200"
"2017/12/21","4.9000","4000620.0000","5.8500","5.8500","4.6000"
"2017/12/20","5.7000","3666588.0000","6.0100","6.0400","5.3500"
"2017/12/19","5.8200","7940648.0000","5.8100","6.3500","5.6700"
"2017/12/18","6.3400","10150980.0000","6.3000","6.8400","5.9001"
"2017/12/15","5.7400","6266437.0000","5.8600","6.1800","5.6500"
"2017/12/14","5.4300","3578220.0000","5.6500","5.9500","5.2900"
"2017/12/13","5.6900","9119583.0000","5.9000","6.6300","5.5400"
"2017/12/12","5.8000","19365280.0000","5.9500","7.0300","5.5000"
"2017/12/11","6.3000","15815690.0000","4.7100","6.3500","4.6078"
"2017/12/08","4.4100","2084588.0000","4.4700","4.6290","4.3300"
"2017/12/07","4.5800","2959781.0000","4.9800","5.1000","4.4100"
"2017/12/06","4.6489","7837112.0000","5.3500","5.5700","4.5000"
"2017/12/05","5.1100","6127231.0000","4.4900","5.3800","4.4100"
"2017/12/04","4.6600","7134384.0000","5.3400","5.4000","4.5100"
"2017/12/01","4.9500","17257240.0000","4.9000","5.1500","4.4600"
"2017/11/30","4.1700","7034901.0000","3.9800","4.4500","3.6949"
"2017/11/29","4.0500","18096650.0000","5.3500","5.5000","3.7700"
"2017/11/28","3.8500","18695150.0000","4.5500","4.6500","3.6400"
"2017/11/27","6.5100","47426700.0000","8.7000","10.0300","6.3000"
"2017/11/24","5.9500","44396490.0000","3.4500","6.0400","3.1900"
"2017/11/22","2.1801","14374450.0000","1.4500","2.6800","1.3900"
"2017/11/21","1.4200","601764.0000","1.4900","1.4900","1.3200"
"2017/11/20","1.4600","3010727.0000","1.4600","1.6600","1.4200"
"2017/11/17","1.3900","504937.0000","1.3500","1.4577","1.3400"
"2017/11/16","1.3500","525702.0000","1.3300","1.4000","1.2810"
"2017/11/15","1.3200","153939.0000","1.2900","1.3400","1.2800"
"2017/11/14","1.3400","179735.0000","1.3900","1.3900","1.2814"
"2017/11/13","1.3599","722714.0000","1.3200","1.4200","1.2700"
"2017/11/10","1.3300","151653.0000","1.3000","1.3400","1.2600"
"2017/11/09","1.3091","255425.0000","1.2900","1.3604","1.2600"
"2017/11/08","1.3000","573559.0000","1.3800","1.4300","1.1900"
"2017/11/07","1.4000","999344.0000","1.4100","1.5700","1.3500"
"2017/11/06","1.4300","286409.0000","1.4300","1.4400","1.3500"
"2017/11/03","1.4400","637860.0000","1.4700","1.5000","1.3210"
"2017/11/02","1.4900","4160124.0000","2.1500","2.3100","1.4500"
"2017/11/01","1.8400","763165.0000","1.5300","1.9900","1.5000"
"2017/10/31","1.5400","249712.0000","1.5300","1.5994","1.4500"
"2017/10/30","1.6000","883179.0000","1.3800","1.8000","1.0900"
"2017/10/27","1.4040","575836.0000","1.5680","1.6344","1.0000"
"2017/10/26","1.6196","270588.0000","1.7600","1.7600","1.5600"
"2017/10/25","1.6780","850339.0000","1.4800","1.8252","1.4200"
"2017/10/24","1.4896","61048.0000","1.4800","1.5352","1.4600"
"2017/10/23","1.4840","97635.0000","1.5200","1.5904","1.4200"
"2017/10/20","1.5204","221377.0000","1.4800","1.6000","1.4400"
"2017/10/19","1.4860","127872.0000","1.5360","1.5960","1.4400"
"2017/10/18","1.5360","435768.0000","1.6000","1.6720","1.4000"
"2017/10/17","1.5956","128550.0000","1.6664","1.6664","1.5400"
"2017/10/16","1.6520","187518.0000","1.6000","1.7400","1.6000"
"2017/10/13","1.6000","80255.0000","1.5600","1.6240","1.5400"
"2017/10/12","1.5908","154158.0000","1.6000","1.6796","1.5312"
