"date","close","volume","open","high","low"

"2018/10/12","0.9400","64730.0000","0.9100","0.9400","0.8860"
"2018/10/11","0.9112","74004.0000","0.9400","0.9400","0.8550"
"2018/10/10","0.9400","58607.0000","0.9800","0.9800","0.9100"
"2018/10/09","0.9330","54567.0000","0.9700","0.9800","0.9300"
"2018/10/08","0.9451","34628.0000","0.9404","0.9890","0.9257"
"2018/10/05","0.9847","43329.0000","0.9700","0.9900","0.9500"
"2018/10/04","0.9500","35812.0000","0.9246","0.9799","0.9246"
"2018/10/03","0.9502","32361.0000","0.9301","0.9796","0.9202"
"2018/10/02","0.9301","102399.0000","0.9900","0.9900","0.9200"
"2018/10/01","0.9709","27045.0000","0.9799","0.9990","0.9401"
"2018/09/28","0.9890","44454.0000","0.9500","0.9999","0.9401"
"2018/09/27","0.9395","29142.0000","0.9625","1.0000","0.9395"
"2018/09/26","0.9800","34414.0000","1.0100","1.0100","0.9395"
"2018/09/25","0.9400","123809.0000","0.9874","1.0100","0.9200"
"2018/09/24","0.9792","33007.0000","0.9520","0.9999","0.9300"
"2018/09/21","0.9700","49112.0000","0.9210","0.9900","0.9001"
"2018/09/20","0.9496","57239.0000","0.9400","0.9599","0.9200"
"2018/09/19","0.9300","108726.0000","0.9200","0.9400","0.9000"
"2018/09/18","0.9201","31745.0000","0.9684","0.9798","0.9197"
"2018/09/17","0.9484","83605.0000","0.9400","0.9800","0.8946"
"2018/09/14","0.9699","39322.0000","0.9800","0.9899","0.9500"
"2018/09/13","0.9424","363388.0000","1.0000","1.0050","0.8815"
"2018/09/12","0.9800","90531.0000","1.0100","1.0300","0.9800"
"2018/09/11","1.0100","126558.0000","1.0100","1.0300","0.9900"
"2018/09/10","1.0208","89791.0000","1.0300","1.0500","1.0000"
"2018/09/07","1.0300","52392.0000","1.0300","1.0400","1.0000"
"2018/09/06","1.0200","71768.0000","1.0200","1.0300","0.9903"
"2018/09/05","0.9900","232295.0000","1.0100","1.0500","0.9900"
"2018/09/04","1.0330","79504.0000","1.0500","1.0800","1.0300"
"2018/08/31","1.0600","54491.0000","1.0200","1.0600","1.0200"
"2018/08/30","1.0300","130913.0000","1.0300","1.0401","1.0100"
"2018/08/29","1.0200","31446.0000","1.0700","1.0700","1.0200"
"2018/08/28","1.0600","94961.0000","1.0200","1.0700","1.0200"
"2018/08/27","1.0400","97835.0000","1.0200","1.0500","1.0151"
"2018/08/24","1.0200","34800.0000","1.0100","1.0500","1.0100"
"2018/08/23","1.0500","84439.0000","1.0800","1.0800","1.0200"
"2018/08/22","1.0400","43334.0000","1.0400","1.0500","1.0300"
"2018/08/21","1.0200","105988.0000","1.0100","1.0404","1.0100"
"2018/08/20","1.0200","72467.0000","1.0500","1.0500","1.0100"
"2018/08/17","1.0500","30267.0000","1.0370","1.0600","1.0125"
"2018/08/16","1.0300","47758.0000","1.0000","1.0300","1.0000"
"2018/08/15","1.0000","292926.0000","1.0300","1.0799","1.0000"
"2018/08/14","1.0900","106057.0000","1.0700","1.0900","1.0600"
"2018/08/13","1.0600","41294.0000","1.0800","1.1100","1.0600"
"2018/08/10","1.1000","77475.0000","1.0700","1.1200","1.0700"
"2018/08/09","1.0700","233061.0000","1.0800","1.1200","1.0400"
"2018/08/08","1.1000","113617.0000","1.1300","1.1300","1.0600"
"2018/08/07","1.1290","93346.0000","1.1100","1.1367","1.0900"
"2018/08/06","1.1100","110592.0000","1.1000","1.1157","1.0560"
