"date","close","volume","open","high","low"

"2018/10/12","2.5700","4981702.0000","2.2200","3.1100","2.2200"
"2018/10/11","2.1600","662046.0000","2.1500","2.3204","2.1500"
"2018/10/10","2.1700","915036.0000","2.7200","2.7300","2.1500"
"2018/10/09","2.7100","348771.0000","2.8500","2.8835","2.6700"
"2018/10/08","2.8500","359386.0000","3.0200","3.1170","2.8300"
"2018/10/05","3.0200","511156.0000","3.3400","3.4600","2.9100"
"2018/10/04","3.3600","139416.0000","3.4400","3.4882","3.3000"
"2018/10/03","3.4321","312908.0000","3.4600","3.4700","3.3000"
"2018/10/02","3.4200","220939.0000","3.4000","3.5000","3.3600"
"2018/10/01","3.4500","534633.0000","3.7400","3.7590","3.3600"
"2018/09/28","3.6500","312321.0000","3.7800","3.8499","3.5300"
"2018/09/27","3.7800","228573.0000","3.8300","3.8700","3.7502"
"2018/09/26","3.8200","349061.0000","3.9500","3.9900","3.7000"
"2018/09/25","3.9500","226699.0000","4.0700","4.0900","3.9500"
"2018/09/24","4.0800","279777.0000","3.9500","4.1400","3.9210"
"2018/09/21","3.9900","536262.0000","4.2800","4.2900","3.9400"
"2018/09/20","4.0900","296537.0000","4.1600","4.1600","4.0100"
"2018/09/19","4.1200","446182.0000","3.7800","4.1700","3.7800"
"2018/09/18","3.8900","199106.0000","3.8200","3.9300","3.8100"
"2018/09/17","3.8100","384866.0000","3.9200","3.9400","3.7300"
"2018/09/14","3.9400","504866.0000","3.7600","3.9400","3.6300"
"2018/09/13","3.8000","825406.0000","3.7500","3.9312","3.6101"
"2018/09/12","3.7400","1143376.0000","4.2300","4.2976","3.6100"
"2018/09/11","4.2900","603596.0000","4.4600","4.5100","4.1110"
"2018/09/10","4.5000","696617.0000","4.3600","4.6500","4.3500"
"2018/09/07","4.3000","1765640.0000","5.6500","5.8200","4.2800"
"2018/09/06","5.6800","282673.0000","5.7400","5.8000","5.5600"
"2018/09/05","5.7100","559160.0000","6.0500","6.0500","5.5701"
"2018/09/04","6.1900","866277.0000","6.5400","6.7900","6.1301"
"2018/08/31","6.3000","412428.0000","6.0700","6.4390","6.0500"
"2018/08/30","6.1000","363195.0000","6.1000","6.2500","5.9400"
"2018/08/29","6.2200","508495.0000","6.4300","6.4371","6.0500"
"2018/08/28","6.3100","1362117.0000","6.1800","6.4700","6.0100"
"2018/08/27","5.7600","977828.0000","5.6300","6.0700","5.5500"
"2018/08/24","5.5000","330607.0000","5.4300","5.7300","5.4000"
"2018/08/23","5.4700","389677.0000","5.6300","5.6900","5.4500"
"2018/08/22","5.6300","604683.0000","5.3600","5.8801","5.3600"
"2018/08/21","5.3100","366133.0000","5.3400","5.4500","5.2200"
"2018/08/20","5.3100","425207.0000","5.3600","5.4500","4.9500"
"2018/08/17","5.3700","255918.0000","5.5100","5.5900","5.3000"
"2018/08/16","5.3900","1032510.0000","5.0700","5.5300","4.7600"
"2018/08/15","5.3500","1455251.0000","6.5000","6.6300","5.3400"
"2018/08/14","6.6500","336701.0000","6.6500","6.9400","6.6100"
"2018/08/13","6.7100","385228.0000","6.8800","6.9490","6.6300"
"2018/08/10","6.9600","762638.0000","6.8700","7.3000","6.8000"
"2018/08/09","6.8000","508858.0000","6.6000","7.0500","6.6000"
"2018/08/08","6.7300","615722.0000","6.6300","6.8000","6.5532"
"2018/08/07","6.9300","638782.0000","7.1500","7.1500","6.8611"
"2018/08/06","6.8000","564543.0000","6.8100","6.9700","6.5200"
"2018/08/03","6.8300","1232237.0000","6.7400","7.1700","6.6000"
"2018/08/02","6.7900","1261741.0000","6.3300","6.9000","6.3000"
"2018/08/01","6.4300","757154.0000","6.6800","6.6800","6.3000"
"2018/07/31","6.4900","1566511.0000","7.3700","7.5201","6.4600"
"2018/07/30","7.6200","869248.0000","7.6000","7.6400","7.1700"
"2018/07/27","7.5900","2125499.0000","7.4900","7.8100","7.0300"
"2018/07/26","7.9000","1080192.0000","7.9200","8.1800","7.8000"
"2018/07/25","7.9800","3941629.0000","7.8800","8.2700","7.3800"
"2018/07/24","8.4000","13540380.0000","7.5900","8.5550","7.1500"
"2018/07/23","6.5900","3056802.0000","6.2900","6.7000","6.0700"
"2018/07/20","5.9000","2512070.0000","6.0600","6.6400","5.8100"
"2018/07/19","6.0700","2377392.0000","5.7700","6.3000","5.7700"
"2018/07/18","5.7300","5594698.0000","6.1300","6.4600","5.6000"
"2018/07/17","6.2900","8265498.0000","4.6000","6.6000","4.5700"
"2018/07/16","4.5700","200470.0000","4.6400","4.7890","4.5501"
"2018/07/13","4.6600","237086.0000","4.6000","4.7990","4.4300"
"2018/07/12","4.5700","295957.0000","4.7300","4.8070","4.4700"
"2018/07/11","4.6800","490430.0000","4.5500","4.9000","4.4100"
"2018/07/10","4.6500","776878.0000","4.9200","4.9454","4.4900"
"2018/07/09","4.8650","902312.0000","5.2900","5.2900","4.8000"
"2018/07/06","5.1500","1239778.0000","6.0100","6.0800","5.0359"
"2018/07/05","6.0100","510870.0000","6.2800","6.3990","6.0000"
"2018/07/03","6.2500","272768.0000","6.4600","6.4889","6.1111"
"2018/07/02","6.3800","482056.0000","6.2800","6.8800","6.2800"
"2018/06/29","6.3400","316357.0000","6.6500","6.7500","6.2800"
"2018/06/28","6.5600","239101.0000","6.5500","6.7200","6.3810"
"2018/06/27","6.5900","226175.0000","6.8000","6.9300","6.5300"
"2018/06/26","6.8000","343638.0000","6.5800","7.1099","6.5400"
"2018/06/25","6.5700","508972.0000","6.8000","6.8500","6.4100"
"2018/06/22","6.8800","539430.0000","7.1500","7.2390","6.8200"
"2018/06/21","7.2700","426715.0000","7.6700","7.7500","7.0100"
"2018/06/20","7.3500","246030.0000","7.2300","7.6000","7.2200"
"2018/06/19","7.3200","162438.0000","7.3300","7.4800","7.1600"
"2018/06/18","7.3800","214223.0000","7.2600","7.5200","7.2600"
"2018/06/15","7.4000","247637.0000","7.4100","7.5700","7.2600"
"2018/06/14","7.5400","285489.0000","7.2500","7.7000","7.2500"
"2018/06/13","7.2600","232876.0000","7.3100","7.4740","7.2100"
"2018/06/12","7.3600","245591.0000","7.5000","7.7450","7.3501"
"2018/06/11","7.4400","336141.0000","7.6100","7.6800","7.2000"
"2018/06/08","7.7100","188527.0000","7.6100","7.8750","7.4100"
"2018/06/07","7.6500","220498.0000","7.7100","7.9200","7.5000"
"2018/06/06","7.7800","325680.0000","7.7900","8.0000","7.7500"
"2018/06/05","7.8000","296294.0000","7.7300","8.0300","7.6100"
"2018/06/04","7.7300","683318.0000","7.5900","8.1500","7.5000"
"2018/06/01","7.3900","1003930.0000","6.9300","7.7000","6.9300"
"2018/05/31","6.9800","236074.0000","6.9700","7.1100","6.8200"
"2018/05/30","6.9700","409208.0000","7.0800","7.1500","6.8200"
"2018/05/29","7.0800","516215.0000","7.5300","7.5600","7.0000"
"2018/05/25","7.5900","222439.0000","7.7300","7.7600","7.5500"
"2018/05/24","7.7900","327267.0000","7.7900","7.8800","7.6000"
"2018/05/23","7.8900","633980.0000","7.7800","8.0500","7.5000"
"2018/05/22","7.8500","617036.0000","8.0600","8.5000","7.8400"
"2018/05/21","8.2800","805657.0000","8.8500","9.1000","8.1100"
"2018/05/18","9.0000","1465143.0000","9.4800","9.4800","8.5700"
"2018/05/17","9.5100","1832679.0000","8.5000","9.7500","8.1500"
"2018/05/16","8.5000","997533.0000","7.8000","8.6400","7.6500"
"2018/05/15","7.8300","296473.0000","7.6000","7.9500","7.5800"
"2018/05/14","7.6300","374353.0000","7.4000","7.7300","7.3800"
"2018/05/11","7.3800","544523.0000","7.4400","7.5500","7.2700"
"2018/05/10","7.2300","430457.0000","7.4100","7.6500","7.1500"
"2018/05/09","7.4400","369893.0000","7.4000","7.5900","7.3200"
"2018/05/08","7.4000","280904.0000","7.5600","7.7743","7.3400"
"2018/05/07","7.5800","429101.0000","7.3100","7.8000","7.3100"
"2018/05/04","7.5600","672171.0000","7.9000","8.1500","7.4110"
"2018/05/03","7.6400","359645.0000","7.3600","7.6700","7.1100"
"2018/05/02","7.2400","215710.0000","7.3700","7.3700","7.1432"
"2018/05/01","7.3200","262460.0000","7.1400","7.4700","7.0200"
"2018/04/30","7.2200","409950.0000","7.4600","7.4900","7.1300"
"2018/04/27","7.4900","350825.0000","7.5500","7.6600","7.3600"
"2018/04/26","7.4700","656192.0000","7.3200","7.8800","7.2410"
"2018/04/25","7.3600","673477.0000","7.3000","7.4800","7.0000"
"2018/04/24","7.5800","1448464.0000","6.9000","7.6550","6.6401"
"2018/04/23","6.5500","356891.0000","6.6600","6.8990","6.4600"
"2018/04/20","6.6500","453225.0000","6.6600","6.9500","6.5610"
"2018/04/19","6.7000","745265.0000","6.7500","6.7500","6.2500"
"2018/04/18","6.8700","739907.0000","6.9500","7.1900","6.8400"
"2018/04/17","7.3000","622999.0000","7.3200","7.8700","7.2900"
"2018/04/16","7.3100","594365.0000","7.7000","7.7000","7.0600"
"2018/04/13","7.7500","1566622.0000","8.0400","8.3600","7.5000"
"2018/04/12","7.4700","4074294.0000","7.3500","8.2000","7.1200"
"2018/04/11","6.6200","564130.0000","6.3500","7.1000","6.3500"
"2018/04/10","6.4900","432338.0000","6.4100","6.7273","6.3530"
"2018/04/09","6.4000","525471.0000","6.5800","6.7800","6.2500"
"2018/04/06","6.6400","1652138.0000","7.1800","7.7699","6.5300"
"2018/04/05","7.2200","3416566.0000","6.4000","7.8100","6.3800"
"2018/04/04","6.4200","311301.0000","6.2500","6.6000","6.2000"
"2018/04/03","6.5300","474571.0000","6.3900","6.8900","6.2305"
"2018/04/02","6.3600","296791.0000","6.5100","6.5990","6.1700"
"2018/03/29","6.6200","511908.0000","6.2500","6.6500","6.0000"
"2018/03/28","6.2800","700688.0000","6.8800","6.9100","6.0300"
"2018/03/27","6.9500","310179.0000","7.3400","7.5499","6.8300"
"2018/03/26","7.3600","627080.0000","7.6700","7.7600","7.0500"
"2018/03/23","7.5000","426605.0000","7.6500","7.7600","7.4000"
"2018/03/22","7.6300","362382.0000","7.7500","7.9600","7.5800"
