model_description,train_from,train_to,test_on,shuffle,normalize,training_loss,rmse,rmse_cp,dir_acc
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",0,25000,3000,False,seqs,1.1936e-03,0.0379%,0.0162%,44.2383%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",3000,28000,3000,False,seqs,8.3192e-04,0.0563%,0.0134%,41.7480%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",6000,31000,3000,False,seqs,7.1690e-04,0.0216%,0.0091%,52.2949%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",9000,34000,3000,False,seqs,7.2827e-04,0.0131%,0.0110%,45.8008%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",12000,37000,3000,False,seqs,3.7141e-04,0.0284%,0.0099%,56.2988%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",15000,40000,3000,False,seqs,4.5170e-04,0.0165%,0.0111%,50.8789%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",18000,43000,3000,False,seqs,1.0080e-03,0.0254%,0.0197%,43.0664%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",21000,46000,3000,False,seqs,7.1602e-04,0.0342%,0.0312%,48.4863%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",24000,49000,3000,False,seqs,8.1934e-04,0.0675%,0.0142%,58.5449%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",27000,52000,3000,False,seqs,8.4456e-04,0.0162%,0.0110%,36.7676%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",30000,55000,3000,False,seqs,5.8859e-04,0.0189%,0.0142%,40.4297%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",33000,58000,3000,False,seqs,4.8171e-04,0.0300%,0.0294%,51.1719%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",36000,61000,3000,False,seqs,6.3586e-04,0.0325%,0.0108%,55.3711%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",39000,64000,3000,False,seqs,5.4988e-04,0.0169%,0.0116%,48.8770%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",42000,67000,3000,False,seqs,8.6267e-04,0.0169%,0.0117%,56.9336%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",45000,70000,3000,False,seqs,4.5395e-04,0.0122%,0.0082%,53.9062%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",48000,73000,3000,False,seqs,5.2659e-04,0.0185%,0.0157%,55.3223%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",51000,76000,3000,False,seqs,5.3045e-04,0.0226%,0.0232%,53.2715%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",54000,79000,3000,False,seqs,5.1326e-04,0.0724%,0.0790%,60.7910%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",57000,82000,3000,False,seqs,7.5726e-04,0.0562%,0.0234%,41.0156%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",60000,85000,3000,False,seqs,1.0089e-03,0.0327%,0.0233%,49.1211%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",63000,88000,3000,False,seqs,1.0472e-03,0.0382%,0.0261%,45.9473%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",66000,91000,3000,False,seqs,7.2638e-04,0.0623%,0.0182%,54.3457%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",69000,94000,3000,False,seqs,8.7347e-04,0.0387%,0.0209%,38.9160%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",72000,97000,3000,False,seqs,7.6731e-04,0.0264%,0.0139%,45.4102%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",75000,100000,3000,False,seqs,8.8397e-04,0.0493%,0.0325%,48.0957%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",78000,103000,3000,False,seqs,1.0976e-03,0.0679%,0.0206%,39.3066%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",81000,106000,3000,False,seqs,1.1017e-03,0.0475%,0.0149%,47.8516%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",84000,109000,3000,False,seqs,1.0112e-03,0.0262%,0.0162%,46.9727%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",87000,112000,3000,False,seqs,7.1425e-04,0.0456%,0.0153%,50.7812%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",90000,115000,3000,False,seqs,9.5881e-04,0.0176%,0.0111%,52.6367%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",93000,118000,3000,False,seqs,8.6583e-04,0.0177%,0.0097%,47.0703%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",96000,121000,3000,False,seqs,7.8468e-04,0.0123%,0.0110%,49.4629%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",99000,124000,3000,False,seqs,6.4789e-04,0.0434%,0.0064%,46.2402%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",102000,127000,3000,False,seqs,7.8453e-04,0.0227%,0.0107%,56.3477%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",105000,130000,3000,False,seqs,8.8309e-04,0.0237%,0.0140%,50.8789%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",108000,133000,3000,False,seqs,6.2404e-04,0.0275%,0.0094%,48.9746%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",111000,136000,3000,False,seqs,5.5997e-04,0.0402%,0.0076%,43.9453%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",114000,139000,3000,False,seqs,3.8182e-04,0.0263%,0.0277%,63.6719%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",117000,142000,3000,False,seqs,2.4842e-04,0.0233%,0.0250%,68.3594%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",120000,145000,3000,False,seqs,4.6590e-04,0.0484%,0.0520%,59.8633%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",123000,148000,3000,False,seqs,5.6831e-04,0.0455%,0.0206%,43.7012%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",126000,151000,3000,False,seqs,5.6540e-04,0.0316%,0.0147%,44.0430%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",129000,154000,3000,False,seqs,7.1129e-04,0.0178%,0.0105%,39.8926%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",132000,157000,3000,False,seqs,5.9888e-04,0.0477%,0.0412%,47.7539%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",135000,160000,3000,False,seqs,4.6901e-04,0.0197%,0.0126%,52.7832%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",138000,163000,3000,False,seqs,4.8849e-04,0.0246%,0.0047%,40.8203%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",141000,166000,3000,False,seqs,9.3693e-04,0.0178%,0.0143%,44.4336%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",144000,169000,3000,False,seqs,7.9420e-04,0.0372%,0.0115%,55.3711%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",147000,172000,3000,False,seqs,6.7906e-04,0.0341%,0.0062%,58.8379%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",150000,175000,3000,False,seqs,5.5011e-04,0.0395%,0.0048%,50.6836%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",153000,178000,3000,False,seqs,4.6582e-04,0.0292%,0.0067%,49.6582%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",156000,181000,3000,False,seqs,5.2938e-04,0.0171%,0.0137%,53.9062%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",159000,184000,3000,False,seqs,5.9376e-04,0.0310%,0.0226%,68.5059%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",162000,187000,3000,False,seqs,4.7547e-04,0.0256%,0.0142%,48.1934%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",165000,190000,3000,False,seqs,7.5174e-04,0.0214%,0.0096%,49.6582%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",168000,193000,3000,False,seqs,7.9650e-04,0.0133%,0.0091%,37.7441%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",171000,196000,3000,False,seqs,4.0056e-04,0.0068%,0.0059%,66.8945%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",174000,199000,3000,False,seqs,8.5903e-04,0.0326%,0.0277%,43.1641%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",177000,202000,3000,False,seqs,5.5545e-04,0.0716%,0.0681%,55.9082%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",180000,205000,3000,False,seqs,5.3360e-04,0.0683%,0.0286%,50.4883%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",183000,208000,3000,False,seqs,6.4246e-04,0.0400%,0.0091%,55.7129%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",186000,211000,3000,False,seqs,8.5550e-04,0.0469%,0.0338%,41.6992%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",189000,214000,3000,False,seqs,7.9807e-04,0.0178%,0.0103%,49.1699%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",192000,217000,3000,False,seqs,8.8012e-04,0.0434%,0.0226%,43.3594%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",195000,220000,3000,False,seqs,1.1346e-03,0.0760%,0.0587%,51.0254%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",198000,223000,3000,False,seqs,7.8070e-04,0.0555%,0.0540%,49.8047%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",201000,226000,3000,False,seqs,9.4107e-04,0.0442%,0.0254%,48.4863%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",204000,229000,3000,False,seqs,9.4259e-04,0.0341%,0.0127%,48.8770%
