model_description,train_from,train_to,test_on,shuffle,normalize,training_loss,rmse,rmse_cp,dir_acc
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",0,25000,3000,False,seqs,6.9166e-05),0.0378%,0.0173%,49.0234%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",3000,28000,3000,False,seqs,5.5009e-05),0.0288%,0.0122%,49.2969%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",3000,28000,3000,False,seqs,5.6169e-05),0.0312%,0.0122%,48.3594%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",6000,31000,3000,False,seqs,5.0547e-05),0.0482%,0.0085%,50.6250%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",9000,34000,3000,False,seqs,4.7577e-05),0.0232%,0.0104%,51.5625%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",12000,37000,3000,False,seqs,4.3490e-05),0.0299%,0.0141%,45.3906%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",15000,40000,3000,False,seqs,3.7427e-05),0.0098%,0.0113%,63.5156%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",18000,43000,3000,False,seqs,4.0208e-05),0.0157%,0.0192%,66.7578%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",21000,46000,3000,False,seqs,3.2846e-05),0.0338%,0.0282%,47.7344%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",24000,49000,3000,False,seqs,4.5145e-05),0.0719%,0.0141%,55.2734%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",27000,52000,3000,False,seqs,3.6498e-05),0.0173%,0.0137%,50.7812%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",30000,55000,3000,False,seqs,4.0330e-05),0.0329%,0.0273%,48.9062%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",33000,58000,3000,False,seqs,4.3748e-05),0.0207%,0.0275%,66.1719%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",36000,61000,3000,False,seqs,5.4874e-05),0.0695%,0.0119%,47.3047%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",39000,64000,3000,False,seqs,5.0794e-05),0.0315%,0.0106%,49.8047%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",42000,67000,3000,False,seqs,5.2452e-05),0.0076%,0.0111%,74.2578%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",45000,70000,3000,False,seqs,4.8220e-05),0.0058%,0.0078%,74.8047%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",48000,73000,3000,False,seqs,4.1380e-05),0.0117%,0.0158%,69.2187%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",51000,76000,3000,False,seqs,4.7578e-05),0.0280%,0.0266%,56.2891%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",54000,79000,3000,False,seqs,4.4754e-05),0.0713%,0.0757%,62.5391%
