model_description,train_from,train_to,test_on,shuffle,normalize,training_loss,rmse,rmse_cp,dir_acc
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",0,25000,3000,False,seqs,7.4392e-04),0.0395%,0.0173%,43.9453%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",3000,28000,3000,False,seqs,6.6052e-04),0.0950%,0.0122%,39.1016%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",6000,31000,3000,False,seqs,7.0530e-04),0.0350%,0.0085%,52.7344%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",9000,34000,3000,False,seqs,8.2898e-04),0.0138%,0.0104%,51.8750%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",12000,37000,3000,False,seqs,6.4770e-04),0.0240%,0.0141%,49.6094%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",15000,40000,3000,False,seqs,6.0485e-04),0.0603%,0.0113%,48.6328%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",18000,43000,3000,False,seqs,7.0562e-04),0.0232%,0.0192%,43.7500%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",21000,46000,3000,False,seqs,3.7180e-04),0.0410%,0.0282%,45.8594%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",24000,49000,3000,False,seqs,7.5546e-04),0.0904%,0.0141%,60.6641%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",27000,52000,3000,False,seqs,6.1721e-04),0.0269%,0.0137%,53.6328%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",30000,55000,3000,False,seqs,8.6587e-04),0.0411%,0.0273%,51.4453%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",33000,58000,3000,False,seqs,6.5344e-04),0.0439%,0.0275%,49.0625%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",36000,61000,3000,False,seqs,4.9497e-04),0.0518%,0.0119%,45.4688%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",39000,64000,3000,False,seqs,5.6448e-04),0.0802%,0.0106%,52.9297%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",42000,67000,3000,False,seqs,5.8291e-04),0.0179%,0.0111%,51.3281%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",45000,70000,3000,False,seqs,4.0939e-04),0.0095%,0.0078%,51.9531%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",48000,73000,3000,False,seqs,5.8622e-04),0.0259%,0.0158%,57.5391%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",51000,76000,3000,False,seqs,6.2152e-04),0.0246%,0.0266%,58.4375%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",54000,79000,3000,False,seqs,4.7153e-04),0.0732%,0.0757%,53.2031%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",57000,82000,3000,False,seqs,4.9995e-04),0.0345%,0.0241%,42.5781%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",60000,85000,3000,False,seqs,9.0743e-04),0.0552%,0.0259%,52.9688%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",63000,88000,3000,False,seqs,7.7079e-04),0.0422%,0.0329%,50.3906%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",66000,91000,3000,False,seqs,7.6627e-04),0.0481%,0.0178%,51.1719%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",69000,94000,3000,False,seqs,9.5044e-04),0.0935%,0.0191%,41.6016%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",72000,97000,3000,False,seqs,8.4860e-04),0.0216%,0.0144%,38.9844%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",75000,100000,3000,False,seqs,8.6376e-04),0.0401%,0.0331%,54.0625%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",78000,103000,3000,False,seqs,6.5513e-04),0.0737%,0.0200%,56.0938%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",81000,106000,3000,False,seqs,5.7246e-04),0.0221%,0.0145%,41.3281%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",84000,109000,3000,False,seqs,1.0013e-03),0.0232%,0.0175%,46.7969%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",87000,112000,3000,False,seqs,6.1958e-04),0.0345%,0.0158%,47.7734%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",90000,115000,3000,False,seqs,6.9386e-04),0.0161%,0.0103%,49.6484%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",93000,118000,3000,False,seqs,8.2202e-04),0.0357%,0.0093%,50.2344%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",96000,121000,3000,False,seqs,5.8461e-04),0.0274%,0.0100%,45.3125%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",99000,124000,3000,False,seqs,5.2197e-04),0.0086%,0.0060%,57.4219%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",102000,127000,3000,False,seqs,8.8780e-04),0.0144%,0.0117%,52.1875%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",105000,130000,3000,False,seqs,9.2870e-04),0.0440%,0.0129%,50.3125%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",108000,133000,3000,False,seqs,5.4594e-04),0.0337%,0.0090%,58.2812%
